code,name,scie,regn,water,water_e,protcnt,protcnt_e,ash,ash_e,fatce,fatce_e,fibtg,fibtg_e,fibins,fibins_e,fibsol,fibsol_e,choavldf,choavldf_e,enerc,enerc_e,dhbenzac34,dhbenzac34_e,hbenzal3,hbenzal3_e,pcathac,pcathac_e,vanlac,vanlac_e,gallac,gallac_e,cinmac,cinmac_e,coumaco,coumaco_e,coumacp,coumacp_e,caffac,caffac_e,chlrac,chlrac_e,ferac,ferac_e,apigen,apigen_e,apigen6cgls,apigen6cgls_e,apigen7onshps,apigen7onshps_e,luteol,luteol_e,kaemf,kaemf_e,querce,querce_e,querce3bdgls,querce3bdgls_e,querce3ortns,querce3ortns_e,querce3bgls,querce3bgls_e,isormt,isormt_e,myrct,myrct_e,rsvrtol,rsvrtol_e,hespt,hespt_e,narng,narng_e,hespd,hespd_e,daidzn,daidzn_e,gnstein,gnstein_e,epicatec,epicatec_e,epicategc,epicategc_e,epicatgc3gal,epicatgc3gal_e,catec,catec_e,galcatecgal,galcatecgal_e,galcatec,galcatec_e,syrgac,syrgac_e,sinpac,sinpac_e,ellgac,ellgac_e,polyph,polyph_e,rafs,rafs_e,stas,stas_e,vers,vers_e,ajgs,ajgs_e,camt,camt_e,stgstr,stgstr_e,stostrb,stostrb_e,phytac,phytac_e,sapon,sapon_e,f4d0,f4d0_e,f6d0,f6d0_e,f8d0,f8d0_e,f10d0,f10d0_e,f12d0,f12d0_e,f14d0,f14d0_e,f16d0,f16d0_e,f18d0,f18d0_e,f20d0,f20d0_e,f22d0,f22d0_e,f24d0,f24d0_e,f14d1cn5,f14d1cn5_e,f16d1cn7,f16d1cn7_e,f18d1tn9,f18d1tn9_e,f18d1cn9,f18d1cn9_e,f20d1cn9,f20d1cn9_e,f22d1cn9,f22d1cn9_e,f18d2cn6,f18d2cn6_e,f18d3n3,f18d3n3_e,fasat,fasat_e,fams,fams_e,fapu,fapu_e,thia,thia_e,ribf,ribf_e,nia,nia_e,pantac,pantac_e,vitb6c,vitb6c_e,biot,biot_e,folsum,folsum_e,vitc,vitc_e,retol,retol_e,ergcal,ergcal_e,chocal,chocal_e,doh25,doh25_e,tocpha,tocpha_e,tocphb,tocphb_e,tocphg,tocphg_e,tocphd,tocphd_e,toctra,toctra_e,toctrb,toctrb_e,toctrg,toctrg_e,toctrd,toctrd_e,vite,vite_e,vitk1,vitk1_e,vitk2,vitk2_e,lutn,lutn_e,zea,zea_e,lycpn,lycpn_e,crypxb,crypxb_e,cartg,cartg_e,carta,carta_e,cartb,cartb_e,cartoid,cartoid_e,al,al_e,as,as_e,cd,cd_e,ca,ca_e,cr,cr_e,co,co_e,cu,cu_e,fe,fe_e,pb,pb_e,li,li_e,mg,mg_e,mn,mn_e,hg,hg_e,mo,mo_e,ni,ni_e,p,p_e,k,k_e,se,se_e,na,na_e,zn,zn_e,cho,cho_e,starch,starch_e,frus,frus_e,glus,glus_e,sucs,sucs_e,mals,mals_e,fsugar,fsugar_e,lactose,lactose_e,f24d1cn9,f24d1cn9_e,f20d2n6,f20d2n6_e,f20d4n6,f20d4n6_e,f11d0,f11d0_e,f15d0,f15d0_e,f20d3n6,f20d3n6_e,f20d5n3,f20d5n3_e,f22d6n3,f22d6n3_e,cholc,cholc_e,f22d2n6,f22d2n6_e,f22d5n3,f22d5n3_e,ala,ala_e,arg,arg_e,asp,asp_e,glu,glu_e,gly,gly_e,pro,pro_e,ser,ser_e,tyr,tyr_e,his,his_e,ile,ile_e,leu,leu_e,lys,lys_e,met,met_e,cys,cys_e,phe,phe_e,thr,thr_e,trp,trp_e,val,val_e,oxalt,oxalt_e,oxals,oxals_e,oxali,oxali_e,caconac,caconac_e,citac,citac_e,fumac,fumac_e,malac,malac_e,quinac,quinac_e,sucac,sucac_e,tarac,tarac_e
D023,Brinjal-14,Solanum melongena,3,90.31,0.06,1.56,0.19,0.64,0.02,0.35,0.03,3.87,0.59,2.5,0.76,1.37,0.24,3.27,0.39,106,9,0,0,0,0,1.73,0.16,0,0,0.33,0.04,0,0,0,0,1.45,0.08,0.84,0.03,0,0,0.69,0.05,0,0,0,0,1.4,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.29,0.72,0,0,0,0,0,0,0,0,0.68,0.02,1.68,0.09,7.83,0.18,15.75,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.02,14.22,21.11,11.42,4.42,2.22,1.38,0.75,1.22,0.66,0,0,0,0,0,0,16.76,7.52,0,0,0,0,108,46.4,17.49,8.73,59.14,29.12,16.76,7.52,125,54.9,0.06,0.012,0.1,0.017,0.46,0.01,0.28,0.03,0.07,0.016,1.36,0.14,38.99,0.97,1.83,0.96,0,0,0.89,0.05,0,0,0,0,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.01,14.58,1.77,0,0,137,12.2,4.12,2.23,0,0,0,0,0,0,0,0,134,21.4,493,142,0.11,0.02,0,0,0.001,0.001,14.43,3.7,0.005,0.002,0,0,0.11,0.02,0.32,0.08,0.001,0,0.01,0.005,19.19,8.62,0.15,0.07,0,0,0.002,0,0.015,0.013,30.07,4.05,246,20.2,0,0,3.71,0.25,0.19,0.06,1.8,0.16,0.92,0.01,0.4,0.02,0.28,0.07,0.2,0.2,0,0,0.88,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37,0.29,5.23,0.35,16.21,0.69,19.59,2.16,3.91,0.14,4.08,0.36,3.35,0.37,2.6,0.49,2.12,0.26,3.98,0.47,5.34,0.8,4.26,0.18,0.84,0.21,0.63,0.18,4.29,0.33,2.84,0.34,0.9,0.1,4.82,0.26,32.95,6.18,27.09,7.24,5.86,1.35,1.81,0.41,8.63,1.55,66.96,10.76,48.93,13.54,0,0,0,0,15.19,2.69
D024,Brinjal-15,Solanum melongena,4,89.44,0.96,1.58,0.27,0.74,0.05,0.29,0.03,3.99,0.79,2.82,0.72,1.17,0.08,3.96,0.19,114,6,0,0,0,0,1.71,0.14,0,0,0.29,0.02,0,0,0,0,1.58,0.13,0.86,0.05,0,0,0.67,0.09,0,0,0,0,1.24,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52,0.65,0,0,0,0,0,0,0,0,0.72,0.06,1.58,0.28,8.59,0.23,11.01,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.27,6.79,23.11,4.7,4.37,0.45,1.69,0.44,1.64,0.55,0,0,0,0,0,0,24.66,5.89,0,0,0,0,131,12,19.2,4.01,67.08,12.14,24.66,5.89,150,10.2,0.07,0.017,0.11,0.008,0.51,0.02,0.32,0.07,0.07,0.027,1.91,0.63,32.48,9.7,2.01,0.78,0,0,1.12,0.22,0,0,0,0,0.08,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.01,14.04,2.02,0,0,169,24.2,4.35,1.76,0,0,0,0,0,0,0,0,162,41.9,346,84.4,0.06,0.02,0,0,0,0,17.82,2.16,0.003,0.002,0.001,0.002,0.12,0.01,0.36,0.14,0.001,0,0.009,0.008,21.89,3.72,0.15,0.05,0,0,0.004,0.003,0.003,0.001,30.32,4,215,67.5,0,0,3.34,0.27,0.22,0.04,1.9,0.12,1.08,0.01,0.4,0.02,0.15,0.02,0.27,0.13,0,0,0.82,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31,0.34,4.48,1.25,16.23,0.72,20.53,1.76,3.81,0.11,3.26,0.46,3.79,0.64,2.68,0.57,1.64,0.26,3.09,0.55,5.1,0.91,3.55,0.28,0.7,0.22,0.53,0.14,4.51,0.75,2.85,0.22,0.91,0.2,4.48,1.18,29.74,8.02,21.77,2.5,7.97,7.06,0.85,0.41,10.85,1.64,47.43,9.97,48.77,9.12,0,0,0,0,16.71,4.93
D025,Brinjal-16,Solanum melongena,1,90.39,0,1.26,0,0.8,0,0.34,0,3.74,0,2.54,0,1.2,0,3.46,0,103,0,0,0,0,0,1.89,0,0,0,0.31,0,0,0,0,0,1.52,0,0.88,0,0,0,0.77,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16,0,0,0,0,0,0,0,0,0,0.66,0,1.58,0,8.13,0,5.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.99,0,29.8,0,5.53,0,1.51,0,1.82,0,0,0,0,0,0,0,21.95,0,0,0,0,0,143,0,23.91,0,83.65,0,21.95,0,166,0,0.04,0,0.11,0,0.44,0,0.29,0,0.1,0,2.14,0,30.87,0,1.53,0,0,0,0.76,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,13.37,0,0,0,155,0,1.8,0,0,0,0,0,0,0,0,0,155,0,364,0,0.1,0,0,0,0.001,0,18.33,0,0.01,0,0,0,0.07,0,0.32,0,0.001,0,0.003,0,17.06,0,0.18,0,0,0,0,0,0.003,0,29.86,0,294,0,0,0,3.22,0,0.19,0,1.6,0,0.61,0,0.54,0,0.13,0,0.32,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,5.43,0,16.88,0,21.96,0,3.85,0,3.12,0,3.85,0,2.17,0,2.21,0,3.9,0,6.04,0,3.23,0,0.78,0,0.59,0,3.52,0,2.92,0,0.73,0,4.84,0,32.81,0,28.76,0,4.05,0,1.36,0,8.65,0,91.48,0,35.19,0,0,0,0,0,16.57,0
D026,Brinjal-17,Solanum melongena,1,90.83,0,1.18,0,0.81,0,0.36,0,3.94,0,2.8,0,1.14,0,2.89,0,91,0,0,0,0,0,1.79,0,0,0,0.27,0,0,0,0,0,1.49,0,0.81,0,0,0,0.74,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.17,0,0,0,0,0,0,0,0,0,0.75,0,1.81,0,7.08,0,15.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.54,0,26.97,0,5.06,0,1.96,0,1.6,0,0,0,0,0,0,0,28.21,0,0,0,0,0,150,0,28.31,0,81.14,0,28.21,0,179,0,0.08,0,0.09,0,0.53,0,0.34,0,0.1,0,3.57,0,27.7,0,1.95,0,0,0,1.33,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,12.75,0,0,0,146,0,1.9,0,0,0,0,0,0,0,0,0,146,0,564,0,0.1,0,0,0,0,0,20.83,0,0.004,0,0.001,0,0.12,0,0.5,0,0.002,0,0,0,23.13,0,0.14,0,0,0,0,0,0.005,0,35.94,0,233,0,0,0,3.09,0,0.25,0,1.47,0,0.62,0,0.4,0,0.26,0,0.19,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,0,5.61,0,15.45,0,19.39,0,3.94,0,3.28,0,3.83,0,2.99,0,2.24,0,3.79,0,5.6,0,4.7,0,0.8,0,0.84,0,4.35,0,3.08,0,0.89,0,4.97,0,37.14,0,32.46,0,4.68,0,1.72,0,10.12,0,23.51,0,98.93,0,0,0,0,0,12.86,0
D027,Brinjal-18,Solanum melongena,3,89.07,0.78,1.47,0.15,0.66,0.02,0.33,0.06,4.38,0.25,3.23,0.15,1.15,0.18,4.1,0.88,116,18,0,0,0,0,1.75,0.18,0,0,0.3,0.05,0,0,0,0,1.44,0.07,0.77,0.13,0,0,0.48,0.17,0,0,0,0,1.23,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.62,0.56,0,0,0,0,0,0,0,0,0.71,0.05,1.81,0.24,8.15,0.09,9.42,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.91,17.94,25.5,11.77,4.58,2.43,1.86,0.93,1.32,0.54,0,0,0,0,0,0,20.71,11.35,0,0,0,0,111,53.2,21.75,12.21,69.18,33.52,20.71,11.35,133,64.5,0.04,0.012,0.1,0.01,0.57,0.05,0.3,0.04,0.07,0.025,2.16,0.36,38.27,3.6,1.97,1.44,0,0,1.01,0.15,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.01,13.67,0.92,0,0,128,15.1,2.88,1.48,0,0,0,0,0,0,0,0,130,11.4,364,94.2,0.08,0.02,0,0,0.001,0.001,16.24,4.21,0.007,0.005,0.001,0.002,0.1,0.03,0.38,0.08,0.002,0.002,0.008,0.009,15.48,1.73,0.17,0.04,0,0,0.006,0,0.01,0.013,28.03,6.25,208,51.4,0,0,3.63,0.38,0.18,0.05,2.72,0.85,1.28,0.57,0.95,0.44,0.2,0.23,0.29,0.28,0,0,1.44,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0.6,4.98,0.3,15.68,0.24,21.38,1.48,3.82,0.07,3.39,0.8,3.87,0.26,2.83,0.12,1.67,0.26,3.14,0.6,5.45,0.42,3.29,0.03,0.6,0.31,0.49,0.15,4.41,0.13,2.51,0.35,0.89,0.21,3.31,1.31,37.58,5.39,31.76,6.44,5.82,1.35,1.68,0.89,8.79,4.17,51.6,15.25,52.7,14.73,0,0,0,0,17.75,6.55
D028,Brinjal-19,Solanum melongena,3,90.41,0.55,1.26,0.06,0.66,0.05,0.31,0.02,3.97,0.18,2.81,0.42,1.16,0.27,3.39,0.36,100,8,0,0,0,0,1.65,0.13,0,0,0.32,0.03,0,0,0,0,1.53,0.14,0.76,0.12,0,0,0.66,0.12,0,0,0,0,1.33,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.54,1.63,0,0,0,0,0,0,0,0,0.73,0.08,1.84,0.13,8.54,0.16,10.96,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.52,12.01,20.62,10.06,4.32,2.05,1.56,0.72,1.25,0.38,0,0,0,0,0,0,18.19,9.02,0,0,0,0,107,48.3,16.89,7.99,59.27,25.07,18.19,9.02,124,56.3,0.04,0.007,0.1,0.012,0.53,0.08,0.26,0.08,0.09,0.023,2.54,0.64,34.32,5.55,2.53,1.07,0,0,1.06,0.46,0,0,0,0,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.03,11.48,1.05,0,0,119,14.7,3.68,1.7,0,0,0,0,0,0,0,0,119,16.8,552,90.6,0.07,0.06,0,0,0.001,0,16.1,1.74,0.003,0.002,0.001,0,0.1,0.03,0.32,0.04,0.002,0,0.01,0.004,18.41,2.91,0.16,0.02,0,0,0.001,0,0.016,0.003,29.76,2.67,243,57.7,0,0,3.11,0.08,0.19,0.03,2.02,0.02,1.05,0.02,0.5,0.03,0.32,0.04,0.14,0.02,0,0,0.96,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0.36,4.34,0.88,16.98,1.41,21.76,3.24,3.64,0.15,3.73,0.57,4.28,0.01,3.16,0.41,1.93,0.31,3.73,0.59,6.23,0.69,3.9,0.97,0.84,0.32,0.63,0.16,4.63,0.87,2.95,0.42,0.83,0.21,3.75,1.73,37.84,5.68,27.09,7.24,10.75,8.72,0,0,9.02,3.11,47.69,15.14,23.76,11.67,0,0,0,0,15.11,4.1
D029,Brinjal-20,Solanum melongena,5,90.65,0.79,1.44,0.21,0.68,0.08,0.34,0.04,3.73,0.21,2.64,0.37,1.09,0.21,3.15,0.6,99,10,0,0,0,0,1.75,0.13,0,0,0.28,0.02,0,0,0,0,1.44,0.11,0.87,0.08,0,0,0.75,0.09,0,0,0,0,1.47,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,1.62,0,0,0,0,0,0,0,0,0.72,0.05,1.82,0.09,8.21,0.27,10.55,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.95,4.84,28.44,3.75,5.61,1.03,2.03,0.47,1.89,0.42,0,0,0,0,0,0,20.28,4.11,0,0,0,0,140,15.9,26.55,5.05,79.91,9.82,20.28,4.11,167,14.8,0.06,0.015,0.1,0.014,0.55,0.09,0.29,0.04,0.07,0.012,1.77,0.44,33.44,4.68,2.21,0.86,0,0,1.02,0.33,0,0,0,0,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.03,10.94,1.17,0,0,139,12.6,4.08,1.72,0,0,0,0,0,0,0,0,139,18.5,651,37.7,0.14,0.09,0,0,0.001,0.001,14.36,2.59,0.005,0.004,0.001,0.001,0.1,0.03,0.33,0.1,0.001,0,0.01,0.006,18.51,3.26,0.16,0.05,0,0,0.001,0.001,0.009,0.007,31.21,6.76,239,29.6,0,0,3.58,0.27,0.2,0.05,2.83,0.04,2.08,0.02,0.42,0.02,0.21,0.02,0.12,0.01,0,0,0.76,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61,1.05,4.32,0.6,16.36,3.2,21.23,2.21,4.45,0.58,3.3,0.53,4.15,0.46,2.66,0.37,1.88,0.35,3.63,0.46,5.7,0.7,3.35,0.3,0.97,0.15,0.77,0.16,5.69,0.71,3.07,0.05,0.86,0.38,4.81,0.6,35.39,5.77,28.44,5.5,6.94,3.13,2.99,1.5,9.29,1.6,63.9,41.84,22.64,6.12,0,0,9.26,1.1,13.08,3.76
D030,Brinjal-21,Solanum melongena,2,89.83,0,1.36,0,0.69,0,0.35,0,3.85,0,2.57,0,1.28,0,3.93,0,113,0,0,0,0,0,2.86,0,0,0,0.3,0,0,0,0,0,1.39,0,0.83,0,0,0,0.62,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0.71,0,1.78,0,7.52,0,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.29,0,32.46,0,6.04,0,2.29,0,2.2,0,0,0,0,0,0,0,25.84,0,0,0,0,0,140,0,30.14,0,88.28,0,25.84,0,170,0,0.05,0,0.11,0,0.53,0,0.32,0,0.08,0,1.93,0,32.6,0,1.38,0,0,0,0.84,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,10.5,0,0,0,156,0,4.44,0,0,0,0,0,0,0,0,0,155,0,670,0,0.08,0,0,0,0.002,0,15.27,0,0.007,0,0.003,0,0.09,0,0.34,0,0.003,0,0.009,0,17.3,0,0.23,0,0,0,0,0,0.017,0,34.98,0,252,0,0,0,3.06,0,0.2,0,2.01,0,1.08,0,0.7,0,0.07,0,0.15,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48,0,5.02,0,17.23,0,21.64,0,4.3,0,3.45,0,3.9,0,2.58,0,2.07,0,3.15,0,5.44,0,3.4,0,0.68,0,0.71,0,4.87,0,3.24,0,0.97,0,4.6,0,34.6,0,25.48,0,9.13,0,2.08,0,9.01,0,48.9,0,50.74,0,0,0,0,0,15.1,0
D031,Brinjal - all varieties,Solanum melongena,6,90,0.9,1.48,0.22,0.7,0.08,0.32,0.04,3.98,0.49,2.84,0.52,1.14,0.22,3.52,0.8,106,15,0,0,0,0,1.81,0.33,0,0,0.29,0.04,0,0,0,0,1.44,0.1,0.82,0.08,0,0,0.75,0.12,0,0,0,0,1.42,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.79,1.34,0,0,0,0,0,0,0,0,0.71,0.05,1.67,0.21,8.09,0.47,12.28,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.54,8.01,25.49,6.41,4.92,1.34,1.69,0.49,1.52,0.49,0,0,0,0,0,0,21.45,5.45,0,0,0,0,127,25.2,22.65,7.19,71.15,16.08,21.45,5.45,149,30.4,0.06,0.016,0.11,0.011,0.53,0.08,0.31,0.06,0.07,0.016,1.76,0.58,33.93,5.33,2.09,0.85,0,0,1.04,0.27,0,0,0,0,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.03,13.53,2.62,0,0,144,18.7,3.21,1.55,0,0,0,0,0,0,0,0,146,24,309,188,0.08,0.05,0,0,0.001,0.001,16.59,3.13,0.005,0.003,0.001,0.001,0.11,0.03,0.37,0.08,0.001,0.001,0.008,0.006,21,5.68,0.17,0.06,0,0,0.002,0.002,0.011,0.009,32.56,5.91,247,59.8,0,0,3.55,0.47,0.21,0.05,2.28,0.51,1.31,0.48,0.55,0.19,0.2,0.09,0.22,0.12,0,0,0.97,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37,1.01,5.02,0.79,16.01,1.59,20.62,2.36,4.11,0.55,3.56,0.61,3.82,0.52,2.85,0.6,1.98,0.37,3.63,0.73,5.61,0.78,3.81,0.75,0.82,0.2,0.71,0.16,4.7,0.68,2.96,0.36,0.8,0.21,4.6,1.15,34.31,5.9,28.17,5.01,6.14,4.44,1.66,1.03,9.76,2.73,56.02,26.03,47.84,24.54,0,0,9.26,1.1,15.52,5.06
D032,Broad beans,Vicia faba,3,84.2,0.17,3.85,0.13,1.05,0.08,0.15,0.01,8.63,0.15,6.61,0.07,2.03,0.09,2.11,0.11,123,4,0,0,0,0,1.68,0.62,0,0,0,0,0,0,0,0,0,0,0.09,0.01,3.88,0.08,0.31,0.01,0.77,0.11,0,0,0,0,0,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.05,2.13,0,0,0,0,16.63,0.37,0,0,9.7,0.1,0,0,0,0,0,0,89.14,6.99,0,0,0,0,0,0,0,0,0.82,0.02,3.26,0.01,13.58,0.34,5.78,0.42,0.45,0.04,0,0,0,0,0,0,0,0,0,0,0.45,0.06,31.8,3.07,6.55,0.08,1.1,0.1,1.29,0.21,1.42,0.2,0,0,0.69,0.07,0,0,7.85,1.02,0,0,0,0,42.97,0.63,21.88,2.24,42.62,3.73,8.53,0.94,64.85,2.87,0.12,0.01,0.1,0.03,0.76,0,0.45,0.03,0.23,0.01,10.03,0.75,20.46,0.04,10.98,0.97,0,0,11.58,1.55,0,0,0,0,0.05,0.04,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.03,93.2,0.5,0,0,106,33.5,24.25,8.69,0,0,0,0,0,0,0,0,6.38,0.62,574,5.14,0,0,0.34,0.16,0,0,64.37,5.06,0.001,0,0.002,0.001,0.2,0.01,0.94,0.2,0.003,0,0,0,40.18,2.1,0.47,0.04,0,0,0.024,0.006,0.04,0.01,67.97,8.14,362,14.1,9.03,1.67,20.74,0.65,0.61,0.06,2.06,0.06,0.84,0.03,0.61,0.02,0.41,0.02,0.2,0.02,0,0,1.22,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,0.01,7.61,0.01,14.41,0.64,13.83,0.38,4.8,0.1,4.51,0.35,4.54,0.21,2.83,0.13,3.16,0.63,4.28,0.12,7.63,0.15,5.66,0.5,0.65,0.81,0.55,0.03,3.86,0.59,3.4,0.66,0.88,0.02,5.41,0.16,20.25,1.21,5.81,2,13,1.34,0,0,124,1.2,1.12,0.18,4.99,0.37,0,0,0,0,0,0
D033,"Capsicum, green",Capsicum annuum,6,93.89,0.32,1.11,0.11,0.76,0.05,0.34,0.03,2.06,0.22,1.33,0.29,0.73,0.17,1.84,0.32,68,6,0,0,0,0,0.46,0.03,0.07,0.02,0,0,0,0,0,0,0,0,0.07,0.02,0.39,0.09,2.49,0.22,1.46,0.26,0,0,0,0,0,0,1.44,0.27,0,0,0,0,0,0,0,0,0,0,1.45,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,2.6,0,0,0,0,0,0,0,0,1.25,0.03,0.25,0.01,4.84,0.03,15.96,2.94,0.33,0.04,0,0,0,0,0,0,0,0,0,0,1.8,0.1,48.13,3.56,20.1,1.9,2.95,0.21,2.29,0.08,1.76,0.21,0,0,1.42,0.23,0,0,11.29,1.34,0,0,0,0,135,11.8,37.08,5.46,77.03,4.78,12.71,1.5,172,15.8,0.05,0.007,0.03,0.011,0.56,0.05,0.21,0.03,0.15,0.011,4.59,0.46,51.85,3.38,123,7.8,0,0,0.7,0.21,0,0,0,0,0.07,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.03,24.66,2.89,0,0,164,43.9,21.41,8.02,0,0,0,0,0,0,0,0,328,61.7,2511,776,0,0,0,0,0.001,0,14.75,2.93,0.017,0.008,0.002,0.001,0.06,0.01,0.48,0.11,0.001,0,0.002,0.002,11.84,1.91,0.1,0.04,0,0,0.001,0.001,0.014,0.007,23,5.42,154,24.2,0.18,0.05,1.84,0.1,0.15,0.03,1.16,0.1,0.31,0.02,0.42,0.04,0.2,0.07,0.23,0.01,0,0,0.86,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43,0.79,3.07,0.97,14.89,2.12,24.82,3.73,4.86,0.62,3.83,1.39,4.3,0.65,2.91,0.93,1.72,0.79,3.79,0.95,5.68,0.57,3.47,1.08,1.24,0.4,0.98,0.04,3.49,1.26,4.05,0.56,0.96,0.15,5.17,0.78,19.12,1.47,6.83,1.34,2.29,1.07,0,0,103,1.4,0.26,0.02,185,2.9,0,0,250,6.3,0,0
