recipe_id,ingredient_number,ingredient_name,quantity,category
RCP00007,8,Mint Leaves,3 tbsp,Aromatics
RCP00007,9,Garam Masala,2 tsp,Spices
RCP00008,1,Onion,2 medium,Vegetables
RCP00008,2,Garlic,3 cloves,Vegetables
RCP00008,3,Salt,to taste,Others
RCP00008,4,Fish,763g,Proteins
RCP00008,5,Lemon Juice,4 tbsp,Liquids
RCP00008,6,Basmati Rice,399 g,Grains
RCP00008,7,Lentils (Dal),1 tbsp,Proteins
RCP00009,1,Onion,1 medium,Vegetables
RCP00009,2,Garlic,3 cloves,Vegetables
RCP00009,3,Salt,to taste,Others
RCP00009,4,Mutton,859g,Proteins
RCP00009,5,Black Pepper,2 tsp,Spices
RCP00009,6,Sesame Seeds,1 tbsp,Others
RCP00009,7,All-Purpose Flour,361 g,Grains
RCP00010,1,Onion,3 medium,Vegetables
RCP00010,2,Garlic,9 cloves,Vegetables
RCP00010,3,Salt,to taste,Others
RCP00010,4,Paneer,869g,Proteins
RCP00010,5,Mint Leaves,4 tbsp,Aromatics
RCP00010,6,Yogurt,431 ml,Dairy
RCP00010,7,Yogurt,118 ml,Dairy
RCP00011,1,Onion,1 medium,Vegetables
RCP00011,2,Garlic,4 cloves,Vegetables
RCP00011,3,Salt,to taste,Others
RCP00011,4,Paneer,599g,Proteins
RCP00011,5,Coriander,2 tsp,Spices
RCP00011,6,Cumin,1 tsp,Spices
RCP00011,7,Salt,4 tbsp,Others
RCP00011,8,Tofu,4 tbsp,Proteins
RCP00011,9,Vinegar,3 tbsp,Liquids
RCP00011,10,Cream,209 ml,Dairy
RCP00011,11,Yogurt,478 ml,Dairy
RCP00012,1,Onion,2 medium,Vegetables
RCP00012,2,Garlic,5 cloves,Vegetables
RCP00012,3,Salt,to taste,Others
RCP00012,4,Mutton,865g,Proteins
RCP00012,5,Fenugreek Leaves,1 tbsp,Aromatics
RCP00012,6,Sugar,3 tbsp,Others
RCP00012,7,Green Chili,2 medium,Vegetables
RCP00012,8,Eggs,3 tbsp,Proteins
RCP00012,9,Mustard Seeds,1 tbsp,Others
RCP00012,10,Lemon Juice,2 tbsp,Liquids
RCP00012,11,Spinach,1 medium,Vegetables
RCP00012,12,Basmati Rice,495 g,Grains
RCP00013,1,Onion,3 medium,Vegetables
RCP00013,2,Garlic,3 cloves,Vegetables
RCP00013,3,Salt,to taste,Others
RCP00013,4,Shrimp,891g,Proteins
RCP00013,5,Sugar,4 tbsp,Others
RCP00013,6,Yogurt,487 ml,Dairy
RCP00013,7,Garlic,2 medium,Vegetables
RCP00013,8,Raisins,3 tbsp,Others
RCP00014,1,Onion,3 medium,Vegetables
RCP00014,2,Garlic,6 cloves,Vegetables
RCP00014,3,Salt,to taste,Others
RCP00014,4,Shrimp,482g,Proteins
RCP00014,5,All-Purpose Flour,219 g,Grains
RCP00014,6,Milk,294 ml,Dairy
RCP00014,7,Water,2 tbsp,Liquids
RCP00015,1,Onion,2 medium,Vegetables
RCP00015,2,Garlic,4 cloves,Vegetables
RCP00015,3,Salt,to taste,Others
RCP00015,4,Shrimp,352g,Proteins
RCP00015,5,Cauliflower,2 medium,Vegetables
RCP00015,6,Mustard Seeds,2 tbsp,Others
RCP00016,1,Onion,3 medium,Vegetables
RCP00016,2,Garlic,3 cloves,Vegetables
RCP00016,3,Salt,to taste,Others
RCP00016,4,Beef,964g,Proteins
RCP00016,5,Milk,105 ml,Dairy
RCP00016,6,Garlic,1 medium,Vegetables
RCP00016,7,Vinegar,4 tbsp,Liquids
RCP00017,1,Onion,1 medium,Vegetables
RCP00017,2,Garlic,4 cloves,Vegetables
RCP00017,3,Salt,to taste,Others
RCP00017,4,Chicken,935g,Proteins
RCP00017,5,Ginger,2 medium,Vegetables
RCP00017,6,Eggs,1 tbsp,Proteins
RCP00017,7,Garam Masala,2 tsp,Spices
RCP00017,8,Chickpea Flour,347 g,Grains
RCP00017,9,Cumin,1 tsp,Spices
RCP00017,10,Oil,2 tbsp,Liquids
RCP00017,11,Tamarind Paste,4 tbsp,Liquids
RCP00017,12,Water,1 tbsp,Liquids
RCP00017,13,Eggs,2 tbsp,Proteins
RCP00018,1,Onion,2 medium,Vegetables
RCP00018,2,Garlic,6 cloves,Vegetables
RCP00018,3,Salt,to taste,Others
RCP00018,4,Chicken,835g,Proteins
RCP00018,5,Peas,1 medium,Vegetables
RCP00018,6,Carrot,2 medium,Vegetables
RCP00018,7,Fenugreek Leaves,1 tbsp,Aromatics
RCP00018,8,Water,3 tbsp,Liquids
RCP00018,9,Onion,1 medium,Vegetables
RCP00019,1,Onion,2 medium,Vegetables
RCP00019,2,Garlic,7 cloves,Vegetables
RCP00019,3,Salt,to taste,Others
RCP00019,4,Chickpeas,357g,Proteins
RCP00019,5,Coconut Milk,1 tbsp,Liquids
RCP00019,6,Shrimp,3 tbsp,Proteins
RCP00019,7,Coconut Milk,1 tbsp,Liquids
RCP00019,8,Carrot,2 medium,Vegetables
RCP00020,1,Onion,3 medium,Vegetables
RCP00020,2,Garlic,5 cloves,Vegetables
RCP00020,3,Salt,to taste,Others
RCP00020,4,Fish,528g,Proteins
RCP00020,5,Tamarind Paste,1 tbsp,Liquids
RCP00020,6,Mint Leaves,3 tbsp,Aromatics
RCP00020,7,Ginger,1 medium,Vegetables
RCP00020,8,Butter,238 ml,Dairy
RCP00020,9,Almonds,1 tbsp,Others
RCP00020,10,Paneer,286 ml,Dairy
RCP00020,11,Green Chili,2 medium,Vegetables
RCP00020,12,Raisins,2 tbsp,Others
RCP00020,13,Ginger,2 medium,Vegetables
RCP00020,14,Water,3 tbsp,Liquids
RCP00020,15,Ghee,255 ml,Dairy
RCP00020,16,Butter,252 ml,Dairy
RCP00020,17,Raisins,2 tbsp,Others
RCP00020,18,Yogurt,395 ml,Dairy
RCP00020,19,Mint Leaves,3 tbsp,Aromatics
RCP00021,1,Onion,3 medium,Vegetables
RCP00021,2,Garlic,6 cloves,Vegetables
RCP00021,3,Salt,to taste,Others
RCP00021,4,Beef,689g,Proteins
RCP00021,5,Paneer,490 ml,Dairy
RCP00021,6,Paneer,411 ml,Dairy
RCP00021,7,Lentils (Dal),1 tbsp,Proteins
RCP00021,8,Garam Masala,2 tsp,Spices
RCP00022,1,Onion,1 medium,Vegetables
RCP00022,2,Garlic,9 cloves,Vegetables
RCP00022,3,Salt,to taste,Others
RCP00022,4,Beef,842g,Proteins
RCP00022,5,Beef,2 tbsp,Proteins
RCP00022,6,Sugar,3 tbsp,Others
RCP00022,7,Sesame Seeds,4 tbsp,Others
RCP00022,8,Peas,1 medium,Vegetables
RCP00022,9,Fish,4 tbsp,Proteins
RCP00023,1,Onion,2 medium,Vegetables
RCP00023,2,Garlic,9 cloves,Vegetables
RCP00023,3,Salt,to taste,Others
RCP00023,4,Chickpeas,400g,Proteins
RCP00023,5,Fenugreek Leaves,4 tbsp,Aromatics
RCP00023,6,Vinegar,1 tbsp,Liquids
RCP00023,7,Paneer,1 tbsp,Proteins
RCP00023,8,Semolina,306 g,Grains
RCP00023,9,Chickpea Flour,276 g,Grains
RCP00023,10,All-Purpose Flour,388 g,Grains
RCP00023,11,All-Purpose Flour,337 g,Grains
RCP00023,12,Bell Pepper,1 medium,Vegetables
RCP00023,13,Mutton,1 tbsp,Proteins
RCP00023,14,Mint Leaves,1 tbsp,Aromatics
RCP00023,15,Tomato,2 medium,Vegetables
RCP00023,16,Water,4 tbsp,Liquids
RCP00023,17,Raisins,1 tbsp,Others
RCP00024,1,Onion,2 medium,Vegetables
RCP00024,2,Garlic,3 cloves,Vegetables
RCP00024,3,Salt,to taste,Others
RCP00024,4,Chickpeas,299g,Proteins
RCP00024,5,Beef,4 tbsp,Proteins
RCP00024,6,Salt,3 tbsp,Others
RCP00024,7,Almonds,3 tbsp,Others
RCP00024,8,Chickpeas,1 tbsp,Proteins
RCP00024,9,Black Pepper,1 tsp,Spices
RCP00024,10,Salt,2 tbsp,Others
RCP00024,11,Curry Leaves,2 tbsp,Aromatics
RCP00024,12,Curry Leaves,3 tbsp,Aromatics
RCP00024,13,Potato,1 medium,Vegetables
RCP00025,1,Onion,2 medium,Vegetables
RCP00025,2,Garlic,9 cloves,Vegetables
RCP00025,3,Salt,to taste,Others
RCP00025,4,Chickpeas,301g,Proteins
RCP00025,5,Tamarind Paste,2 tbsp,Liquids
RCP00025,6,Chickpea Flour,494 g,Grains
RCP00026,1,Onion,2 medium,Vegetables
RCP00026,2,Garlic,4 cloves,Vegetables
RCP00026,3,Salt,to taste,Others
RCP00026,4,Chicken,533g,Proteins
RCP00026,5,Spinach,2 medium,Vegetables
RCP00026,6,Fenugreek Leaves,4 tbsp,Aromatics
RCP00026,7,Salt,2 tbsp,Others
RCP00026,8,Sugar,4 tbsp,Others
RCP00026,9,Tomato,1 medium,Vegetables
RCP00026,10,Bell Pepper,1 medium,Vegetables
RCP00026,11,Semolina,408 g,Grains
RCP00026,12,Onion,1 medium,Vegetables
RCP00026,13,Paneer,131 ml,Dairy
RCP00026,14,Bell Pepper,2 medium,Vegetables
RCP00027,1,Onion,2 medium,Vegetables
RCP00027,2,Garlic,6 cloves,Vegetables
RCP00027,3,Salt,to taste,Others
RCP00027,4,Chickpeas,296g,Proteins
RCP00027,5,Fresh Coriander,4 tbsp,Aromatics
RCP00027,6,Mutton,4 tbsp,Proteins
RCP00027,7,Garlic,2 medium,Vegetables
RCP00027,8,All-Purpose Flour,474 g,Grains
RCP00027,9,Tamarind Paste,1 tbsp,Liquids
RCP00027,10,Garlic,1 medium,Vegetables
RCP00028,1,Onion,1 medium,Vegetables
RCP00028,2,Garlic,9 cloves,Vegetables
RCP00028,3,Salt,to taste,Others
RCP00028,4,Fish,965g,Proteins
RCP00028,5,Chicken,2 tbsp,Proteins
RCP00028,6,Tamarind Paste,3 tbsp,Liquids
RCP00028,7,Semolina,447 g,Grains
RCP00028,8,Cream,128 ml,Dairy
RCP00028,9,Cauliflower,1 medium,Vegetables
RCP00028,10,Water,1 tbsp,Liquids
RCP00028,11,Fresh Coriander,3 tbsp,Aromatics
RCP00028,12,Green Chili,1 medium,Vegetables
RCP00029,1,Onion,1 medium,Vegetables
RCP00029,2,Garlic,3 cloves,Vegetables
RCP00029,3,Salt,to taste,Others
RCP00029,4,Shrimp,508g,Proteins
RCP00029,5,Onion,1 medium,Vegetables
RCP00029,6,Chicken,3 tbsp,Proteins
RCP00029,7,Butter,185 ml,Dairy
RCP00029,8,Curry Leaves,4 tbsp,Aromatics
RCP00030,1,Onion,1 medium,Vegetables
RCP00030,2,Garlic,6 cloves,Vegetables
RCP00030,3,Salt,to taste,Others
RCP00030,4,Chickpeas,284g,Proteins
RCP00030,5,Water,3 tbsp,Liquids
RCP00030,6,Garlic,1 medium,Vegetables
RCP00030,7,Basmati Rice,393 g,Grains
RCP00030,8,Cream,176 ml,Dairy
RCP00030,9,Black Pepper,1 tsp,Spices
RCP00031,1,Onion,3 medium,Vegetables
RCP00031,2,Garlic,3 cloves,Vegetables
RCP00031,3,Salt,to taste,Others
RCP00031,4,Mutton,651g,Proteins
RCP00031,5,Black Pepper,1 tsp,Spices
RCP00031,6,Red Chili Powder,2 tsp,Spices
RCP00031,7,Raisins,2 tbsp,Others
RCP00031,8,Yogurt,152 ml,Dairy
RCP00031,9,Fish,4 tbsp,Proteins
RCP00031,10,Water,2 tbsp,Liquids
RCP00031,11,Yogurt,340 ml,Dairy
RCP00032,1,Onion,3 medium,Vegetables
RCP00032,2,Garlic,6 cloves,Vegetables
RCP00032,3,Salt,to taste,Others
RCP00032,4,Chickpeas,496g,Proteins
RCP00032,5,Garam Masala,1 tsp,Spices
RCP00032,6,Red Chili Powder,1 tsp,Spices
RCP00032,7,Oil,1 tbsp,Liquids
RCP00032,8,Tofu,1 tbsp,Proteins
RCP00032,9,Cardamom,1 tsp,Spices
RCP00032,10,Oil,3 tbsp,Liquids
RCP00032,11,Oil,4 tbsp,Liquids
RCP00032,12,Basmati Rice,433 g,Grains
RCP00032,13,Mint Leaves,2 tbsp,Aromatics
RCP00032,14,Curry Leaves,4 tbsp,Aromatics
RCP00033,1,Onion,3 medium,Vegetables
RCP00033,2,Garlic,6 cloves,Vegetables
RCP00033,3,Salt,to taste,Others
RCP00033,4,Fish,531g,Proteins
RCP00033,5,Paneer,283 ml,Dairy
RCP00033,6,Chickpea Flour,350 g,Grains
RCP00033,7,Shrimp,1 tbsp,Proteins
RCP00033,8,Garlic,1 medium,Vegetables
RCP00033,9,Cashews,2 tbsp,Others
RCP00034,1,Onion,2 medium,Vegetables
RCP00034,2,Garlic,5 cloves,Vegetables
RCP00034,3,Salt,to taste,Others
RCP00034,4,Lentils (Dal),440g,Proteins
RCP00034,5,Chickpeas,1 tbsp,Proteins
RCP00034,6,Fish,1 tbsp,Proteins
RCP00034,7,Coconut Milk,4 tbsp,Liquids
RCP00034,8,Wheat Flour,492 g,Grains
RCP00034,9,Milk,167 ml,Dairy
RCP00035,1,Onion,3 medium,Vegetables
RCP00035,2,Garlic,9 cloves,Vegetables
RCP00035,3,Salt,to taste,Others
RCP00035,4,Eggs,339g,Proteins
RCP00035,5,Mint Leaves,1 tbsp,Aromatics
RCP00035,6,Eggs,2 tbsp,Proteins
RCP00035,7,Oil,2 tbsp,Liquids
RCP00035,8,Oil,3 tbsp,Liquids
RCP00035,9,Garam Masala,1 tsp,Spices
RCP00035,10,Fresh Coriander,2 tbsp,Aromatics
RCP00035,11,Mint Leaves,2 tbsp,Aromatics
RCP00035,12,Carrot,1 medium,Vegetables
RCP00035,13,Mustard Seeds,4 tbsp,Others
RCP00035,14,Mint Leaves,3 tbsp,Aromatics
RCP00036,1,Onion,1 medium,Vegetables
RCP00036,2,Garlic,5 cloves,Vegetables
RCP00036,3,Salt,to taste,Others
RCP00036,4,Chickpeas,464g,Proteins
RCP00036,5,Cloves,2 tsp,Spices
RCP00036,6,Milk,204 ml,Dairy
RCP00036,7,Wheat Flour,203 g,Grains
RCP00036,8,Mint Leaves,1 tbsp,Aromatics
RCP00036,9,Mint Leaves,2 tbsp,Aromatics
RCP00037,1,Onion,1 medium,Vegetables
RCP00037,2,Garlic,4 cloves,Vegetables
RCP00037,3,Salt,to taste,Others
RCP00037,4,Fish,743g,Proteins
RCP00037,5,Sesame Seeds,1 tbsp,Others
RCP00037,6,Black Pepper,1 tsp,Spices
RCP00037,7,Lemon Juice,1 tbsp,Liquids
RCP00037,8,Potato,2 medium,Vegetables
RCP00037,9,Basmati Rice,427 g,Grains
RCP00037,10,Vinegar,3 tbsp,Liquids
RCP00037,11,Turmeric,2 tsp,Spices
RCP00037,12,Mustard Seeds,3 tbsp,Others
RCP00037,13,Spinach,1 medium,Vegetables
RCP00037,14,Basmati Rice,276 g,Grains
RCP00037,15,Mutton,2 tbsp,Proteins
RCP00037,16,Coconut Milk,3 tbsp,Liquids
RCP00038,1,Onion,1 medium,Vegetables
RCP00038,2,Garlic,3 cloves,Vegetables
RCP00038,3,Salt,to taste,Others
RCP00038,4,Chickpeas,398g,Proteins
RCP00038,5,Red Chili Powder,2 tsp,Spices
RCP00038,6,Paneer,227 ml,Dairy
RCP00038,7,Lentils (Dal),3 tbsp,Proteins
RCP00038,8,Fenugreek Leaves,3 tbsp,Aromatics
RCP00038,9,Basmati Rice,479 g,Grains
RCP00038,10,Basmati Rice,201 g,Grains
RCP00038,11,Yogurt,390 ml,Dairy
RCP00039,1,Onion,2 medium,Vegetables
RCP00039,2,Garlic,7 cloves,Vegetables
RCP00039,3,Salt,to taste,Others
RCP00039,4,Tofu,966g,Proteins
RCP00039,5,Almonds,4 tbsp,Others
RCP00040,1,Onion,2 medium,Vegetables
RCP00040,2,Garlic,6 cloves,Vegetables
RCP00040,3,Salt,to taste,Others
RCP00040,4,Fish,352g,Proteins
RCP00040,5,Coriander,1 tsp,Spices
RCP00040,6,Fish,1 tbsp,Proteins
RCP00040,7,Carrot,2 medium,Vegetables
RCP00041,1,Onion,3 medium,Vegetables
RCP00041,2,Garlic,6 cloves,Vegetables
RCP00041,3,Salt,to taste,Others
RCP00041,4,Mutton,408g,Proteins
RCP00041,5,Cauliflower,2 medium,Vegetables
RCP00041,6,Paneer,1 tbsp,Proteins
RCP00041,7,Mint Leaves,2 tbsp,Aromatics
RCP00041,8,Fresh Coriander,3 tbsp,Aromatics
RCP00042,1,Onion,2 medium,Vegetables
RCP00042,2,Garlic,4 cloves,Vegetables
RCP00042,3,Salt,to taste,Others
RCP00042,4,Chicken,989g,Proteins
RCP00042,5,Cloves,2 tsp,Spices
RCP00042,6,Mint Leaves,2 tbsp,Aromatics
RCP00042,7,Fenugreek Leaves,2 tbsp,Aromatics
RCP00042,8,Curry Leaves,3 tbsp,Aromatics
RCP00043,1,Onion,2 medium,Vegetables
RCP00043,2,Garlic,5 cloves,Vegetables
RCP00043,3,Salt,to taste,Others
RCP00043,4,Paneer,987g,Proteins
RCP00043,5,Cashews,2 tbsp,Others
RCP00043,6,Semolina,484 g,Grains
RCP00043,7,Beef,2 tbsp,Proteins
RCP00043,8,Peas,1 medium,Vegetables
RCP00043,9,Raisins,3 tbsp,Others
RCP00043,10,Turmeric,1 tsp,Spices
RCP00043,11,Paneer,426 ml,Dairy
RCP00043,12,Sesame Seeds,3 tbsp,Others
RCP00043,13,Cauliflower,2 medium,Vegetables
RCP00043,14,Almonds,4 tbsp,Others
RCP00043,15,Tomato,1 medium,Vegetables
RCP00044,1,Onion,3 medium,Vegetables
RCP00044,2,Garlic,3 cloves,Vegetables
RCP00044,3,Salt,to taste,Others
RCP00044,4,Fish,697g,Proteins
RCP00044,5,Shrimp,1 tbsp,Proteins
RCP00044,6,Curry Leaves,2 tbsp,Aromatics
RCP00044,7,Fenugreek Leaves,1 tbsp,Aromatics
RCP00044,8,Butter,193 ml,Dairy
RCP00044,9,Oil,4 tbsp,Liquids
RCP00045,1,Onion,3 medium,Vegetables
RCP00045,2,Garlic,6 cloves,Vegetables
RCP00045,3,Salt,to taste,Others
RCP00045,4,Chicken,743g,Proteins
RCP00045,5,Butter,234 ml,Dairy
RCP00045,6,Green Chili,1 medium,Vegetables
RCP00046,1,Onion,3 medium,Vegetables
RCP00046,2,Garlic,3 cloves,Vegetables
RCP00046,3,Salt,to taste,Others
RCP00046,4,Fish,421g,Proteins
RCP00046,5,Garam Masala,2 tsp,Spices
RCP00046,6,Beef,3 tbsp,Proteins
RCP00046,7,Tomato,1 medium,Vegetables
RCP00046,8,Water,4 tbsp,Liquids
RCP00046,9,Coconut Milk,3 tbsp,Liquids
RCP00046,10,Garam Masala,2 tsp,Spices
RCP00046,11,Fenugreek Leaves,1 tbsp,Aromatics
RCP00046,12,Garam Masala,2 tsp,Spices
RCP00046,13,Cream,168 ml,Dairy
RCP00046,14,Sugar,1 tbsp,Others
RCP00046,15,Paneer,486 ml,Dairy
RCP00047,1,Onion,3 medium,Vegetables
RCP00047,2,Garlic,6 cloves,Vegetables
RCP00047,3,Salt,to taste,Others
RCP00047,4,Shrimp,789g,Proteins
RCP00047,5,Tomato,1 medium,Vegetables
RCP00047,6,Cream,146 ml,Dairy
RCP00047,7,Tamarind Paste,2 tbsp,Liquids
RCP00047,8,Mint Leaves,1 tbsp,Aromatics
RCP00048,1,Onion,1 medium,Vegetables
RCP00048,2,Garlic,6 cloves,Vegetables
RCP00048,3,Salt,to taste,Others
RCP00048,4,Lentils (Dal),243g,Proteins
RCP00048,5,Ghee,266 ml,Dairy
RCP00048,6,Fenugreek Leaves,1 tbsp,Aromatics
RCP00048,7,Mustard Seeds,1 tbsp,Others
RCP00048,8,All-Purpose Flour,221 g,Grains
RCP00048,9,Bell Pepper,1 medium,Vegetables
RCP00048,10,Mustard Seeds,2 tbsp,Others
RCP00048,11,Curry Leaves,2 tbsp,Aromatics
RCP00048,12,All-Purpose Flour,458 g,Grains
RCP00048,13,Coconut Milk,2 tbsp,Liquids
RCP00048,14,Semolina,359 g,Grains
RCP00048,15,Green Chili,2 medium,Vegetables
RCP00048,16,Curry Leaves,2 tbsp,Aromatics
RCP00048,17,Chickpea Flour,369 g,Grains
RCP00049,1,Onion,3 medium,Vegetables
RCP00049,2,Garlic,6 cloves,Vegetables
RCP00049,3,Salt,to taste,Others
RCP00049,4,Lentils (Dal),222g,Proteins
RCP00049,5,Cumin,2 tsp,Spices
RCP00049,6,Garlic,2 medium,Vegetables
RCP00049,7,All-Purpose Flour,458 g,Grains
RCP00049,8,Coriander,2 tsp,Spices
RCP00049,9,Sesame Seeds,2 tbsp,Others
RCP00049,10,Curry Leaves,2 tbsp,Aromatics
RCP00049,11,Fenugreek Leaves,4 tbsp,Aromatics
RCP00049,12,Chickpeas,2 tbsp,Proteins
RCP00050,1,Onion,1 medium,Vegetables
RCP00050,2,Garlic,5 cloves,Vegetables
RCP00050,3,Salt,to taste,Others
RCP00050,4,Beef,630g,Proteins
RCP00050,5,All-Purpose Flour,323 g,Grains
RCP00050,6,Lentils (Dal),4 tbsp,Proteins
RCP00050,7,Beef,3 tbsp,Proteins
RCP00050,8,Yogurt,328 ml,Dairy
RCP00050,9,Cashews,1 tbsp,Others
RCP00050,10,Coconut Milk,1 tbsp,Liquids
RCP00050,11,Cumin,2 tsp,Spices
RCP00050,12,Ginger,2 medium,Vegetables
RCP00050,13,Curry Leaves,2 tbsp,Aromatics
RCP00050,14,Garam Masala,2 tsp,Spices
RCP00050,15,Coconut Milk,3 tbsp,Liquids
RCP00051,1,Onion,3 medium,Vegetables
RCP00051,2,Garlic,7 cloves,Vegetables
RCP00051,3,Salt,to taste,Others
RCP00051,4,Chicken,816g,Proteins
RCP00051,5,Sesame Seeds,3 tbsp,Others
RCP00051,6,Oil,4 tbsp,Liquids
RCP00051,7,Paneer,236 ml,Dairy
RCP00051,8,Paneer,1 tbsp,Proteins
RCP00052,1,Onion,2 medium,Vegetables
RCP00052,2,Garlic,8 cloves,Vegetables
RCP00052,3,Salt,to taste,Others
RCP00052,4,Eggs,208g,Proteins
RCP00052,5,Vinegar,2 tbsp,Liquids
RCP00052,6,Almonds,3 tbsp,Others
RCP00052,7,Cumin,1 tsp,Spices
RCP00052,8,Yogurt,178 ml,Dairy
RCP00053,1,Onion,1 medium,Vegetables
RCP00053,2,Garlic,5 cloves,Vegetables
RCP00053,3,Salt,to taste,Others
RCP00053,4,Tofu,479g,Proteins
RCP00053,5,Cinnamon,1 tsp,Spices
RCP00053,6,Ginger,2 medium,Vegetables
RCP00053,7,Fenugreek Leaves,3 tbsp,Aromatics
RCP00053,8,Coconut Milk,4 tbsp,Liquids
RCP00053,9,Lentils (Dal),2 tbsp,Proteins
RCP00053,10,Fresh Coriander,3 tbsp,Aromatics
RCP00053,11,Garam Masala,1 tsp,Spices
RCP00053,12,Wheat Flour,404 g,Grains
RCP00053,13,Mint Leaves,3 tbsp,Aromatics
RCP00053,14,Paneer,2 tbsp,Proteins
RCP00054,1,Onion,2 medium,Vegetables
RCP00054,2,Garlic,9 cloves,Vegetables
RCP00054,3,Salt,to taste,Others
RCP00054,4,Mutton,572g,Proteins
RCP00054,5,All-Purpose Flour,302 g,Grains
RCP00054,6,Almonds,1 tbsp,Others
RCP00054,7,Tomato,1 medium,Vegetables
RCP00054,8,Garlic,2 medium,Vegetables
RCP00054,9,Mint Leaves,2 tbsp,Aromatics
RCP00054,10,Milk,162 ml,Dairy
RCP00054,11,Semolina,209 g,Grains
RCP00054,12,Curry Leaves,3 tbsp,Aromatics
RCP00054,13,Tofu,4 tbsp,Proteins
RCP00054,14,Yogurt,305 ml,Dairy
RCP00055,1,Onion,1 medium,Vegetables
RCP00055,2,Garlic,8 cloves,Vegetables
RCP00055,3,Salt,to taste,Others
RCP00055,4,Shrimp,552g,Proteins
RCP00055,5,Wheat Flour,478 g,Grains
RCP00056,1,Onion,3 medium,Vegetables
RCP00056,2,Garlic,9 cloves,Vegetables
RCP00056,3,Salt,to taste,Others
RCP00056,4,Shrimp,789g,Proteins
RCP00056,5,Fresh Coriander,1 tbsp,Aromatics
RCP00056,6,All-Purpose Flour,396 g,Grains
RCP00056,7,Peas,1 medium,Vegetables
RCP00056,8,Chicken,2 tbsp,Proteins
RCP00057,1,Onion,3 medium,Vegetables
RCP00057,2,Garlic,4 cloves,Vegetables
RCP00057,3,Salt,to taste,Others
RCP00057,4,Eggs,211g,Proteins
RCP00057,5,All-Purpose Flour,388 g,Grains
RCP00057,6,Oil,4 tbsp,Liquids
RCP00058,1,Onion,3 medium,Vegetables
RCP00058,2,Garlic,6 cloves,Vegetables
RCP00058,3,Salt,to taste,Others
RCP00058,4,Chickpeas,400g,Proteins
RCP00058,5,Cloves,1 tsp,Spices
RCP00059,1,Onion,1 medium,Vegetables
