recipe_id,recipe_name,cuisine,category,cooking_method,difficulty,prep_time_minutes,cook_time_minutes,total_time_minutes,servings,spice_level,meal_type,is_vegetarian,is_vegan,is_gluten_free,is_halal,rating,review_count,calories_per_serving,estimated_cost_usd,date_added,is_traditional,is_festival_special
RCP00044,Lahori Chargha,Pakistani,Main Course,Fried,Easy,19,105,124,7,Mild,Dinner,False,False,False,True,4.3,2933,638,5.76,2023-04-23,True,False
RCP00045,Pakistani Main Course Special 45,Pakistani,Main Course,Steamed,Easy,34,134,168,3,Medium,Breakfast,False,False,False,True,4.1,839,488,21.71,2025-10-22,True,False
RCP00046,Pakistani Main Course Special 46,Pakistani,Main Course,Boiled,Hard,15,83,98,7,Medium,Beverage,False,True,False,True,3.9,4765,264,6.16,2023-04-15,True,False
RCP00047,Paya,Pakistani,Main Course,Roasted,Easy,12,60,72,6,Hot,Dinner,False,False,False,True,3.7,4938,559,24.99,2023-10-02,True,False
RCP00048,Nihari,Pakistani,Main Course,Fried,Hard,32,117,149,4,Very Hot,Dessert,True,True,False,True,4.3,2677,754,14.83,2026-02-07,False,False
RCP00049,Chapli Kabab,Pakistani,Main Course,Boiled,Medium,19,40,59,4,Medium,Dinner,True,False,True,True,3.7,1509,463,18.67,2023-12-11,False,False
RCP00050,Pakistani Main Course Special 50,Pakistani,Main Course,Fried,Hard,13,35,48,7,Medium,Lunch,False,False,False,True,4.1,2532,694,21.41,2024-05-29,True,False
RCP00051,Palak Paneer,Pakistani,Main Course,Grilled,Medium,17,88,105,2,Hot,Snack,False,False,False,True,4.5,4443,537,12.21,2025-07-03,True,False
RCP00052,Pakistani Main Course Special 52,Pakistani,Main Course,Steamed,Easy,37,100,137,7,Mild,Dessert,True,False,False,True,3.8,4809,724,9.01,2024-11-06,False,False
RCP00053,Pakistani Main Course Special 53,Pakistani,Main Course,Grilled,Medium,23,148,171,4,Mild,Lunch,False,False,False,True,3.9,2359,705,14.7,2025-06-19,False,False
RCP00054,Seekh Kabab,Pakistani,Main Course,Fried,Hard,57,105,162,5,Medium,Dinner,False,False,True,True,3.6,4433,507,8.56,2023-08-13,True,False
RCP00055,Paya,Pakistani,Main Course,Slow-cooked,Easy,37,24,61,7,Very Hot,Breakfast,False,False,False,True,4.5,3007,403,24.65,2025-10-06,False,False
RCP00056,Pakistani Main Course Special 56,Pakistani,Main Course,Steamed,Easy,54,145,199,3,Mild,Snack,False,False,True,True,4.6,1543,330,17.42,2025-06-02,True,False
RCP00057,Pakistani Main Course Special 57,Pakistani,Main Course,Slow-cooked,Easy,20,136,156,5,Mild,Dinner,True,True,False,True,4.8,4266,381,23.44,2024-04-21,False,False
RCP00058,Haleem,Pakistani,Main Course,Steamed,Easy,54,16,70,7,Hot,Beverage,True,False,False,True,3.7,158,334,2.28,2025-09-16,True,True
RCP00059,Biryani,Pakistani,Main Course,Slow-cooked,Hard,54,92,146,7,Medium,Snack,False,False,False,True,4.2,1802,756,13.68,2024-05-13,True,False
RCP00060,Dal Makhani,Pakistani,Main Course,Boiled,Medium,10,49,59,6,Mild,Dinner,True,False,False,True,4.4,4306,555,12.56,2024-05-13,True,False
RCP00061,Chicken Tikka,Pakistani,Main Course,Grilled,Hard,58,26,84,4,Medium,Dinner,True,False,False,True,4.4,3721,505,20.96,2024-02-29,True,False
RCP00062,Dal Makhani,Pakistani,Main Course,Pressure-cooked,Medium,37,106,143,7,Medium,Dinner,False,False,False,True,3.6,2372,364,21.63,2025-03-03,True,False
RCP00063,Biryani,Pakistani,Main Course,Pressure-cooked,Easy,22,65,87,7,Very Hot,Beverage,False,False,False,True,4.0,2039,348,20.37,2024-08-13,True,False
RCP00064,Pakistani Main Course Special 64,Pakistani,Main Course,Slow-cooked,Easy,23,59,82,7,Mild,Lunch,False,False,False,True,4.7,1096,718,18.78,2023-11-12,False,False
RCP00065,Lahori Chargha,Pakistani,Main Course,Boiled,Easy,11,52,63,2,Hot,Beverage,True,False,False,True,4.6,3472,327,11.57,2023-09-14,True,False
RCP00066,Lahori Chargha,Pakistani,Main Course,Boiled,Medium,57,56,113,7,Mild,Snack,False,False,False,True,4.4,1428,413,17.97,2023-03-02,False,False
RCP00067,Pakistani Main Course Special 67,Pakistani,Main Course,Steamed,Medium,16,81,97,5,Hot,Beverage,False,False,False,True,4.0,3102,489,15.39,2024-05-26,True,False
RCP00068,Haleem,Pakistani,Main Course,Baked,Easy,51,142,193,6,Mild,Dinner,False,True,False,True,4.8,224,201,9.93,2026-02-10,True,False
RCP00069,Chicken Tikka,Pakistani,Main Course,Roasted,Medium,25,16,41,7,Medium,Lunch,False,False,False,True,4.0,3679,475,5.94,2024-07-08,False,False
RCP00070,Paya,Pakistani,Main Course,Slow-cooked,Medium,55,176,231,7,Medium,Snack,False,False,False,True,4.1,4417,725,12.22,2024-05-23,True,False
RCP00071,Dal Makhani,Pakistani,Main Course,Pressure-cooked,Easy,17,88,105,3,Medium,Dinner,False,False,True,True,4.8,4117,754,2.2,2023-04-24,True,False
RCP00072,Pakistani Main Course Special 72,Pakistani,Main Course,Slow-cooked,Easy,48,36,84,5,Mild,Lunch,True,False,False,True,4.3,4451,693,9.5,2024-09-03,False,False
RCP00073,Sindhi Biryani,Pakistani,Main Course,Baked,Medium,55,111,166,5,Mild,Lunch,False,False,False,True,4.3,1910,642,11.73,2025-04-16,False,False
RCP00074,Sindhi Biryani,Pakistani,Main Course,Fried,Hard,17,105,122,3,Mild,Snack,True,False,False,True,4.0,190,785,16.78,2023-11-15,True,False
RCP00075,Pakistani Main Course Special 75,Pakistani,Main Course,Baked,Easy,52,78,130,3,Mild,Beverage,False,True,False,True,5.0,2236,780,23.38,2023-03-15,False,False
RCP00076,Korma,Pakistani,Main Course,Roasted,Easy,46,168,214,6,Medium,Breakfast,False,False,False,True,3.9,2146,214,13.91,2023-08-23,True,False
RCP00077,Korma,Pakistani,Main Course,Grilled,Hard,25,145,170,5,Medium,Snack,False,False,False,True,4.9,1858,465,11.53,2025-05-01,True,False
RCP00078,Palak Paneer,Pakistani,Main Course,Pressure-cooked,Medium,21,111,132,4,Hot,Dessert,False,False,False,True,4.9,1371,750,7.87,2025-02-15,True,False
RCP00079,Chicken Tikka,Pakistani,Main Course,Baked,Hard,16,143,159,7,Mild,Beverage,True,True,False,True,3.8,2496,792,11.07,2025-05-20,True,False
RCP00080,Sajji,Pakistani,Main Course,Roasted,Medium,48,116,164,2,Medium,Breakfast,True,False,True,True,4.2,4514,264,9.81,2023-06-28,True,False
RCP00081,Sindhi Biryani,Pakistani,Main Course,Baked,Easy,32,58,90,6,Medium,Breakfast,False,True,False,True,4.1,2681,414,15.34,2025-07-21,True,False
RCP00082,Biryani,Pakistani,Main Course,Roasted,Medium,11,78,89,6,Mild,Lunch,False,False,False,True,4.5,4518,533,18.81,2024-08-03,False,False
RCP00083,Sindhi Biryani,Pakistani,Main Course,Boiled,Easy,52,29,81,2,Medium,Dinner,False,False,False,True,4.0,3082,454,16.92,2023-12-25,True,False
RCP00084,Sajji,Pakistani,Main Course,Roasted,Medium,41,59,100,2,Very Hot,Breakfast,False,False,False,True,3.7,3690,170,15.96,2025-12-17,False,False
RCP00085,Korma,Pakistani,Main Course,Boiled,Easy,28,118,146,3,Very Hot,Dinner,True,False,False,True,3.7,2211,248,6.61,2025-05-08,True,False
RCP00086,Paya,Pakistani,Main Course,Pressure-cooked,Easy,18,98,116,6,Mild,Breakfast,True,False,False,True,4.9,1982,254,4.09,2025-10-11,True,False
RCP00087,Aloo Gosht,Pakistani,Main Course,Steamed,Easy,33,89,122,3,Mild,Beverage,False,False,False,True,4.3,453,186,10.08,2025-07-29,True,False
RCP00088,Pakistani Main Course Special 88,Pakistani,Main Course,Slow-cooked,Medium,48,148,196,3,Medium,Beverage,False,False,False,True,4.8,1551,485,6.92,2023-06-20,True,False
RCP00089,Chapli Kabab,Pakistani,Main Course,Slow-cooked,Medium,10,96,106,6,Very Hot,Dessert,False,False,False,True,4.8,24,555,3.31,2025-03-15,True,False
RCP00090,Pakistani Main Course Special 90,Pakistani,Main Course,Grilled,Medium,11,159,170,4,Medium,Beverage,False,False,False,True,4.0,4471,595,10.68,2025-06-30,True,False
RCP00091,Palak Paneer,Pakistani,Main Course,Slow-cooked,Medium,36,101,137,5,Mild,Dessert,False,False,False,True,4.6,2867,547,22.57,2024-07-10,True,False
RCP00092,Pakistani Main Course Special 92,Pakistani,Main Course,Baked,Medium,12,16,28,7,Medium,Dinner,True,False,False,True,4.6,4733,351,12.58,2025-12-31,False,False
RCP00093,Palak Paneer,Pakistani,Main Course,Roasted,Hard,38,51,89,7,Hot,Breakfast,False,False,False,True,5.0,4330,482,8.88,2024-08-28,False,False
RCP00094,Pakistani Main Course Special 94,Pakistani,Main Course,Boiled,Easy,14,55,69,5,Medium,Dinner,False,False,False,True,4.3,1286,423,24.73,2024-03-14,True,False
RCP00095,Pakistani Main Course Special 95,Pakistani,Main Course,Fried,Easy,20,179,199,5,Hot,Breakfast,True,False,False,True,4.4,1938,246,18.75,2023-06-01,True,False
RCP00096,Paya,Pakistani,Main Course,Grilled,Easy,41,141,182,6,Medium,Lunch,False,True,True,True,3.8,3391,249,21.52,2024-01-25,False,True
RCP00097,Sindhi Biryani,Pakistani,Main Course,Roasted,Medium,35,32,67,6,Hot,Snack,False,False,False,True,4.3,108,599,21.12,2024-12-27,False,False
RCP00098,Pakistani Main Course Special 98,Pakistani,Main Course,Roasted,Easy,21,94,115,7,Hot,Beverage,False,False,False,True,4.4,3509,408,18.16,2024-05-16,False,False
RCP00099,Pakistani Main Course Special 99,Pakistani,Main Course,Pressure-cooked,Hard,13,179,192,5,Medium,Snack,True,False,False,True,4.9,2749,482,10.63,2025-11-20,True,False
RCP00100,Dal Makhani,Pakistani,Main Course,Roasted,Easy,16,104,120,7,Hot,Breakfast,False,False,False,True,4.5,4729,346,20.33,2024-05-08,False,False
RCP00101,Seekh Kabab,Pakistani,Main Course,Steamed,Medium,43,101,144,5,Hot,Beverage,True,False,True,True,4.5,1190,152,9.11,2025-12-01,True,False
RCP00102,Pakistani Main Course Special 102,Pakistani,Main Course,Steamed,Easy,42,80,122,2,Mild,Beverage,True,False,False,True,3.9,3320,590,20.89,2025-09-21,True,True
RCP00103,Chapli Kabab,Pakistani,Main Course,Roasted,Medium,35,102,137,4,Hot,Dinner,False,False,False,True,4.9,4496,275,11.06,2025-03-26,True,False
RCP00104,Haleem,Pakistani,Main Course,Pressure-cooked,Easy,23,51,74,7,Mild,Breakfast,False,False,False,True,4.0,321,606,24.11,2023-11-18,False,False
RCP00105,Palak Paneer,Pakistani,Main Course,Baked,Easy,45,30,75,6,Medium,Dinner,False,False,True,True,3.7,4711,460,3.18,2023-03-23,True,False
RCP00106,Biryani,Pakistani,Main Course,Pressure-cooked,Hard,58,43,101,6,Hot,Dessert,False,True,False,True,4.9,361,230,14.41,2023-04-03,True,False
RCP00107,Pakistani Main Course Special 107,Pakistani,Main Course,Boiled,Medium,31,34,65,7,Medium,Beverage,False,False,True,True,3.8,3661,451,17.28,2025-02-27,True,False
RCP00108,Haleem,Pakistani,Main Course,Slow-cooked,Medium,52,28,80,7,Hot,Snack,False,False,False,True,4.5,3374,683,4.97,2023-08-28,True,False
RCP00109,Lahori Chargha,Pakistani,Main Course,Steamed,Easy,58,170,228,6,Medium,Lunch,False,True,False,True,4.1,3912,727,17.22,2025-04-24,False,True
RCP00110,Chicken Tikka,Pakistani,Main Course,Boiled,Hard,55,178,233,7,Very Hot,Breakfast,False,False,False,True,3.6,1992,292,18.55,2024-08-24,False,False
RCP00111,Sindhi Biryani,Pakistani,Main Course,Boiled,Easy,45,124,169,4,Hot,Breakfast,False,False,False,True,3.6,3091,687,18.12,2023-10-09,False,False
RCP00112,Korma,Pakistani,Main Course,Roasted,Hard,48,40,88,3,Hot,Breakfast,False,False,False,True,3.9,727,165,18.8,2025-07-16,True,False
RCP00113,Lahori Chargha,Pakistani,Main Course,Slow-cooked,Medium,52,41,93,7,Medium,Lunch,False,False,False,True,4.5,2672,761,10.52,2023-11-05,False,False
RCP00114,Dal Makhani,Pakistani,Main Course,Slow-cooked,Easy,34,176,210,3,Very Hot,Snack,False,False,False,True,4.8,2803,666,14.43,2024-03-23,True,False
RCP00115,Biryani,Pakistani,Main Course,Baked,Hard,29,26,55,6,Medium,Snack,False,False,False,True,3.5,1210,608,10.72,2023-03-05,True,False
RCP00116,Pakistani Main Course Special 116,Pakistani,Main Course,Baked,Medium,12,91,103,2,Medium,Lunch,True,False,False,True,3.6,389,610,3.85,2023-09-13,False,False
RCP00117,Sajji,Pakistani,Main Course,Slow-cooked,Hard,10,30,40,3,Medium,Beverage,True,False,False,True,4.2,2965,516,15.61,2024-07-17,True,False
RCP00118,Paya,Pakistani,Main Course,Steamed,Easy,16,131,147,5,Very Hot,Beverage,False,False,False,True,4.4,2633,233,10.49,2025-10-10,True,False
RCP00119,Karahi,Pakistani,Main Course,Pressure-cooked,Easy,58,25,83,2,Mild,Dinner,False,True,True,True,3.5,3218,585,9.85,2024-11-10,False,False
RCP00120,Chapli Kabab,Pakistani,Main Course,Baked,Medium,35,20,55,6,Mild,Dinner,True,False,False,True,4.3,3224,344,19.6,2025-04-02,True,False
RCP00121,Korma,Pakistani,Main Course,Baked,Easy,39,26,65,6,Very Hot,Snack,False,False,False,True,3.6,4244,433,17.67,2024-01-20,True,False
RCP00122,Sindhi Biryani,Pakistani,Main Course,Fried,Easy,32,138,170,3,Mild,Snack,True,False,False,True,4.6,3888,162,20.07,2024-11-26,True,True
RCP00123,Chapli Kabab,Pakistani,Main Course,Fried,Hard,15,179,194,4,Very Hot,Beverage,True,False,True,True,4.2,3796,428,21.14,2024-09-01,False,False
RCP00124,Chapli Kabab,Pakistani,Main Course,Pressure-cooked,Hard,22,146,168,6,Mild,Dinner,False,False,False,True,3.9,3160,533,13.43,2023-09-21,False,False
RCP00125,Karahi,Pakistani,Main Course,Steamed,Medium,17,31,48,4,Mild,Beverage,False,True,True,True,4.3,326,517,19.11,2025-08-21,True,False
RCP00126,Nihari,Pakistani,Main Course,Roasted,Hard,29,87,116,5,Medium,Breakfast,False,False,False,True,3.9,4297,672,9.82,2023-05-26,False,False
RCP00127,Haleem,Pakistani,Main Course,Baked,Easy,39,68,107,4,Hot,Dinner,False,False,False,True,4.6,813,295,8.06,2023-05-23,False,False
RCP00128,Karahi,Pakistani,Main Course,Fried,Easy,53,165,218,6,Hot,Breakfast,False,False,False,True,4.2,3810,185,8.93,2023-03-25,False,False
RCP00129,Karahi,Pakistani,Main Course,Baked,Hard,21,169,190,4,Medium,Snack,False,False,True,True,4.5,1287,415,22.95,2023-02-21,True,False
RCP00130,Pakistani Main Course Special 130,Pakistani,Main Course,Slow-cooked,Easy,39,160,199,6,Hot,Snack,True,False,False,True,4.1,962,184,23.51,2023-12-07,True,False
RCP00131,Korma,Pakistani,Main Course,Fried,Easy,59,138,197,5,Hot,Breakfast,False,False,False,True,4.1,3202,252,3.65,2025-09-29,True,False
RCP00132,Pakistani Main Course Special 132,Pakistani,Main Course,Grilled,Medium,21,51,72,7,Medium,Dessert,True,False,False,True,3.9,424,613,8.81,2024-04-29,True,False
RCP00133,Pakistani Main Course Special 133,Pakistani,Main Course,Grilled,Medium,11,163,174,6,Hot,Dessert,True,False,False,True,4.4,4697,351,21.33,2023-11-25,False,False
RCP00134,Pakistani Main Course Special 134,Pakistani,Main Course,Slow-cooked,Hard,57,141,198,7,Very Hot,Dinner,True,False,False,True,4.2,3929,495,5.53,2024-02-07,True,False
RCP00135,Pakistani Main Course Special 135,Pakistani,Main Course,Boiled,Medium,56,70,126,5,Mild,Dessert,True,False,True,True,4.2,4354,367,13.55,2024-07-03,False,False
RCP00136,Sajji,Pakistani,Main Course,Pressure-cooked,Hard,40,60,100,5,Very Hot,Lunch,False,False,False,True,3.7,4909,377,18.1,2023-07-10,True,False
RCP00137,Paya,Pakistani,Main Course,Steamed,Medium,17,165,182,7,Medium,Dinner,False,False,False,True,4.1,4479,346,20.63,2023-03-09,False,False
RCP00138,Pakistani Main Course Special 138,Pakistani,Main Course,Roasted,Easy,43,56,99,6,Hot,Breakfast,False,False,False,True,4.9,490,412,3.91,2023-09-19,True,True
RCP00139,Sindhi Biryani,Pakistani,Main Course,Fried,Medium,14,95,109,7,Medium,Lunch,False,False,False,True,4.9,1280,240,22.07,2024-03-16,True,False
RCP00140,Paya,Pakistani,Main Course,Roasted,Easy,36,119,155,7,Medium,Breakfast,False,False,True,True,3.6,1820,150,19.74,2025-06-14,True,True
RCP00141,Pakistani Main Course Special 141,Pakistani,Main Course,Fried,Medium,13,146,159,6,Hot,Beverage,False,False,False,True,4.7,2488,792,15.96,2024-10-10,False,False
RCP00142,Pakistani Main Course Special 142,Pakistani,Main Course,Steamed,Easy,10,159,169,5,Hot,Snack,False,False,False,True,4.7,117,681,13.01,2024-09-25,True,False
RCP00143,Nihari,Pakistani,Main Course,Boiled,Medium,33,148,181,7,Medium,Snack,False,True,True,True,4.8,1880,694,6.6,2025-12-20,True,False
RCP00144,Biryani,Pakistani,Main Course,Pressure-cooked,Easy,48,143,191,6,Hot,Lunch,False,False,False,True,4.2,4059,699,15.88,2024-05-20,True,False
RCP00145,Biryani,Pakistani,Main Course,Baked,Easy,58,167,225,7,Very Hot,Lunch,False,False,False,True,4.6,2396,583,14.86,2023-08-29,True,False
RCP00146,Pakistani Main Course Special 146,Pakistani,Main Course,Slow-cooked,Medium,20,136,156,3,Mild,Dinner,False,False,False,True,3.8,3918,306,15.37,2023-10-24,False,True
RCP00147,Karahi,Pakistani,Main Course,Baked,Easy,17,58,75,5,Medium,Beverage,True,False,False,True,4.6,1081,429,17.25,2025-08-14,True,False
RCP00148,Pakistani Main Course Special 148,Pakistani,Main Course,Baked,Hard,53,131,184,5,Medium,Breakfast,False,False,False,True,4.4,1992,226,20.0,2025-10-21,True,False
RCP00149,Chicken Tikka,Pakistani,Main Course,Baked,Hard,31,28,59,7,Mild,Snack,False,False,True,True,4.9,2370,659,16.65,2025-07-17,False,False
RCP00150,Nihari,Pakistani,Main Course,Roasted,Hard,11,116,127,3,Medium,Breakfast,False,False,True,True,5.0,2691,212,9.17,2024-02-04,True,False
RCP00151,Chicken Tikka,Pakistani,Main Course,Steamed,Hard,39,91,130,5,Very Hot,Lunch,False,False,True,True,4.5,2180,294,14.03,2024-02-15,False,False
RCP00152,Korma,Pakistani,Main Course,Steamed,Easy,27,47,74,3,Hot,Lunch,False,False,False,True,4.8,827,707,20.21,2025-03-04,True,True
RCP00153,Pakistani Main Course Special 153,Pakistani,Main Course,Pressure-cooked,Medium,55,117,172,5,Medium,Dinner,False,False,False,True,4.1,3681,594,18.51,2023-06-20,True,False
RCP00154,Pakistani Main Course Special 154,Pakistani,Main Course,Pressure-cooked,Easy,31,47,78,7,Medium,Beverage,False,False,False,True,4.5,781,560,22.28,2023-03-05,False,False
RCP00155,Pakistani Main Course Special 155,Pakistani,Main Course,Grilled,Hard,15,110,125,7,Hot,Lunch,True,False,False,True,4.5,49,467,14.16,2024-08-25,False,False
RCP00156,Haleem,Pakistani,Main Course,Boiled,Medium,57,42,99,6,Medium,Lunch,False,False,False,True,4.4,4974,365,16.39,2023-06-07,False,False
RCP00157,Nihari,Pakistani,Main Course,Boiled,Medium,28,129,157,4,Hot,Snack,False,False,False,True,3.7,2427,508,11.55,2025-10-08,False,False
RCP00158,Pakistani Main Course Special 158,Pakistani,Main Course,Boiled,Hard,39,95,134,6,Mild,Snack,False,False,False,True,4.8,3357,510,24.8,2024-11-02,False,True
RCP00159,Chapli Kabab,Pakistani,Main Course,Steamed,Medium,33,137,170,2,Mild,Beverage,False,True,False,True,4.6,1134,674,21.11,2024-08-10,True,False
RCP00160,Aloo Gosht,Pakistani,Main Course,Roasted,Medium,13,24,37,2,Mild,Beverage,True,False,False,True,3.5,401,409,17.94,2023-03-31,True,False
RCP00161,Pakistani Main Course Special 161,Pakistani,Main Course,Fried,Medium,21,124,145,2,Hot,Lunch,True,False,False,True,4.0,1137,518,8.85,2023-09-28,False,False
RCP00162,Chapli Kabab,Pakistani,Main Course,Roasted,Easy,43,71,114,7,Mild,Snack,False,False,False,True,4.2,625,525,16.39,2025-12-11,False,False
