recipe_id,calories,protein_g,carbohydrates_g,fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,vitamin_a_percent,vitamin_c_percent,calcium_percent,iron_percent
RCP00042,798,43,38,24,3,6,285,20,26,18,15,22
RCP00043,328,44,70,18,9,9,1347,43,8,19,24,10
RCP00044,638,33,72,22,6,15,1195,16,10,15,7,26
RCP00045,488,48,67,38,9,5,376,79,39,25,29,23
RCP00046,264,30,54,28,14,15,426,0,8,17,27,31
RCP00047,559,42,50,18,10,3,294,51,20,32,29,28
RCP00048,754,17,60,17,14,18,1231,0,5,22,27,30
RCP00049,463,9,74,28,6,8,243,11,13,40,25,19
RCP00050,694,40,65,25,6,16,563,72,10,40,22,30
RCP00051,537,45,47,26,7,19,1494,63,10,47,21,12
RCP00052,724,16,75,19,14,8,814,95,22,35,28,15
RCP00053,705,24,79,26,2,16,990,76,11,28,28,15
RCP00054,507,40,52,35,8,5,902,32,32,16,14,17
RCP00055,403,23,69,38,6,19,1360,83,20,59,7,15
RCP00056,330,44,60,31,12,16,733,92,9,47,7,24
RCP00057,381,10,79,23,11,6,1297,0,17,53,13,22
RCP00058,334,19,46,21,6,13,1299,10,35,23,15,25
RCP00059,756,39,31,38,6,17,760,73,21,22,20,10
RCP00060,555,15,57,19,14,15,871,50,26,29,23,29
RCP00061,505,11,50,26,12,9,985,42,38,49,13,29
RCP00062,364,49,32,31,8,19,792,14,24,17,26,31
RCP00063,348,33,31,25,14,8,1223,22,34,12,9,29
RCP00064,718,47,52,34,2,6,397,79,24,59,12,28
RCP00065,327,19,58,25,5,10,834,23,21,51,19,10
RCP00066,413,40,54,24,2,8,309,52,37,26,7,10
RCP00067,489,41,61,20,6,5,1319,18,25,9,11,24
RCP00068,201,31,40,27,6,4,400,0,12,36,13,20
RCP00069,475,48,44,36,2,5,305,23,26,45,29,15
RCP00070,725,43,32,32,13,18,569,58,25,28,28,10
RCP00071,754,25,79,29,5,14,1422,67,26,40,26,33
RCP00072,693,11,45,15,10,7,1123,14,14,22,5,29
RCP00073,642,20,69,35,9,6,614,69,14,39,6,31
RCP00074,785,14,60,26,14,15,705,33,13,48,14,22
RCP00075,780,37,48,25,5,6,786,0,24,31,28,35
RCP00076,214,43,51,19,2,14,1412,74,31,56,21,34
RCP00077,465,29,77,27,4,11,737,52,5,50,21,32
RCP00078,750,49,34,19,14,11,1061,44,31,39,13,32
RCP00079,792,12,67,22,9,5,662,0,29,45,9,20
RCP00080,264,9,66,21,5,9,1196,69,11,25,13,19
RCP00081,414,26,62,24,12,9,1014,0,25,17,15,39
RCP00082,533,23,70,33,2,2,265,24,22,13,25,23
RCP00083,454,32,46,21,12,6,973,77,39,14,25,23
RCP00084,170,21,35,22,10,9,209,87,13,40,23,35
RCP00085,248,14,68,21,14,16,847,63,26,28,5,27
RCP00086,254,18,78,23,4,19,1358,78,21,35,6,13
RCP00087,186,42,71,36,9,4,1138,57,13,7,17,34
RCP00088,485,47,54,24,9,11,926,80,14,9,10,29
RCP00089,555,27,66,28,12,16,373,87,32,8,6,27
RCP00090,595,22,63,25,6,4,1235,22,23,13,26,29
RCP00091,547,39,32,26,3,2,434,99,12,29,29,13
RCP00092,351,12,41,20,6,5,303,21,33,18,8,29
RCP00093,482,38,64,34,3,2,212,34,28,11,17,24
RCP00094,423,32,64,29,5,15,1024,22,37,37,12,13
RCP00095,246,14,77,22,10,9,1184,74,24,11,10,11
RCP00096,249,38,43,17,11,3,586,0,28,16,9,31
RCP00097,599,24,64,24,11,18,778,24,27,15,6,24
RCP00098,408,38,55,17,7,4,344,99,16,32,10,10
RCP00099,482,6,57,26,10,12,279,47,28,40,8,20
RCP00100,346,48,74,26,11,13,1105,1,21,54,15,36
RCP00101,152,7,59,10,14,8,351,51,24,57,5,26
RCP00102,590,18,58,29,13,18,1283,21,12,31,25,17
RCP00103,275,32,79,30,12,11,1174,33,16,15,18,33
RCP00104,606,43,57,19,10,16,204,68,30,37,23,21
RCP00105,460,39,61,15,12,18,1391,68,17,15,24,22
RCP00106,230,24,54,19,6,2,713,0,7,30,9,34
RCP00107,451,43,74,23,6,7,1244,59,5,48,22,16
RCP00108,683,42,51,28,7,14,714,16,5,41,25,35
RCP00109,727,23,60,24,6,2,275,0,33,43,23,24
RCP00110,292,27,79,27,4,11,984,34,11,43,8,10
RCP00111,687,40,49,18,13,3,1079,37,38,12,29,33
RCP00112,165,23,47,23,9,12,1022,88,30,42,8,19
RCP00113,761,25,33,17,13,14,1229,14,9,8,12,38
RCP00114,666,31,63,22,7,17,1027,53,18,16,17,10
RCP00115,608,20,72,35,6,6,357,27,38,55,5,21
RCP00116,610,15,62,26,2,15,789,60,22,18,17,20
RCP00117,516,9,65,11,6,19,402,60,7,57,24,12
RCP00118,233,43,49,26,6,13,1082,38,20,45,28,23
RCP00119,585,27,53,21,12,4,807,0,8,34,14,23
RCP00120,344,10,44,22,2,12,1264,67,6,8,12,10
RCP00121,433,24,49,34,8,16,617,30,21,35,24,28
RCP00122,162,6,64,17,12,4,697,87,16,49,10,14
RCP00123,428,10,75,12,3,17,482,66,19,56,9,36
RCP00124,533,42,61,29,12,2,694,23,22,58,20,33
RCP00125,517,48,57,21,3,11,568,0,31,32,18,27
RCP00126,672,40,35,21,8,13,1422,18,25,29,7,21
RCP00127,295,35,63,21,3,16,830,18,26,5,27,31
RCP00128,185,30,30,17,2,5,385,49,10,16,10,14
RCP00129,415,41,53,15,9,14,1436,29,31,6,12,22
RCP00130,184,11,78,24,2,15,1114,92,17,27,15,24
RCP00131,252,34,76,24,11,14,903,46,25,24,12,19
RCP00132,613,19,71,18,7,18,689,83,15,51,18,22
RCP00133,351,15,53,28,4,17,1114,90,27,34,10,37
RCP00134,495,5,44,25,8,7,668,65,37,53,19,39
RCP00135,367,18,37,22,14,3,398,12,25,56,27,24
RCP00136,377,21,78,24,11,17,888,41,36,46,16,32
RCP00137,346,27,38,34,10,6,548,98,14,34,15,33
RCP00138,412,44,47,29,14,19,921,28,15,46,11,15
RCP00139,240,36,64,15,12,15,322,6,19,35,19,15
RCP00140,150,40,69,30,6,4,1224,3,21,7,28,22
RCP00141,792,47,52,29,2,10,1105,80,39,20,23,25
RCP00142,681,45,45,15,14,13,776,32,34,40,5,10
RCP00143,694,32,42,20,12,9,363,0,39,27,22,13
RCP00144,699,34,32,32,8,14,866,55,16,51,25,21
RCP00145,583,46,75,18,7,8,771,24,27,21,12,23
RCP00146,306,36,41,39,9,13,1038,69,22,39,7,21
RCP00147,429,13,30,27,7,3,313,59,26,58,10,33
RCP00148,226,35,65,35,2,17,801,11,13,27,18,23
RCP00149,659,45,31,33,14,18,594,70,8,23,29,38
RCP00150,212,34,46,21,14,3,398,28,16,30,6,16
RCP00151,294,42,51,37,13,11,820,58,12,39,29,32
RCP00152,707,20,40,37,6,3,1104,69,6,22,8,26
RCP00153,594,47,41,30,13,3,1293,61,32,58,20,24
RCP00154,560,40,77,16,13,12,627,10,19,42,26,36
RCP00155,467,17,70,17,13,8,747,9,33,47,29,15
RCP00156,365,28,79,27,4,4,1117,12,16,19,10,14
RCP00157,508,30,61,36,10,4,940,8,19,59,17,12
RCP00158,510,22,78,32,5,8,379,1,39,51,9,10
RCP00159,674,30,56,31,13,8,921,0,8,47,16,16
RCP00160,409,5,62,24,8,14,922,23,20,49,29,19
RCP00161,518,17,53,20,9,16,607,62,35,44,15,29
RCP00162,525,21,32,24,11,18,1267,21,5,33,6,37
RCP00163,327,43,34,19,13,2,1063,77,23,9,8,33
RCP00164,482,8,38,27,2,9,690,87,16,42,22,13
RCP00165,462,21,61,39,9,13,283,40,8,15,14,10
RCP00166,440,46,55,25,8,10,925,2,21,50,9,10
RCP00167,244,32,66,30,9,17,1419,95,17,22,9,37
RCP00168,630,6,43,25,14,9,984,44,35,58,14,24
RCP00169,653,12,74,29,14,9,215,55,23,10,5,38
RCP00170,618,33,38,25,13,10,1162,44,21,34,27,10
RCP00171,748,47,66,24,6,3,629,52,10,53,17,14
RCP00172,481,14,67,24,11,2,544,32,30,50,15,32
RCP00173,416,16,40,23,10,10,895,48,13,13,15,22
RCP00174,253,41,60,35,10,7,297,83,9,38,19,11
RCP00175,169,49,44,39,5,10,1246,93,36,58,21,29
RCP00176,340,11,42,17,14,11,931,6,37,17,21,15
RCP00177,460,20,46,21,5,15,269,65,16,8,11,21
RCP00178,528,34,42,19,12,16,566,81,39,50,17,29
RCP00179,523,12,43,21,5,8,926,13,5,42,8,34
RCP00180,619,7,38,17,13,11,1398,0,30,31,24,24
RCP00181,655,8,71,24,8,17,751,25,23,53,23,13
RCP00182,664,40,68,20,14,9,892,66,20,38,16,33
RCP00183,269,6,68,29,12,10,1020,81,32,27,14,28
RCP00184,720,18,73,27,12,12,393,51,39,24,18,32
RCP00185,743,36,68,23,2,10,1006,91,13,25,27,22
RCP00186,793,8,47,11,4,17,856,97,12,54,21,32
RCP00187,669,42,79,28,14,16,1302,11,34,38,7,16
RCP00188,262,48,75,36,9,17,838,82,26,46,15,31
RCP00189,390,44,34,29,3,7,1485,81,7,41,23,25
RCP00190,617,38,76,27,13,16,1143,96,33,52,29,26
RCP00191,242,31,78,15,6,8,997,51,28,34,13,39
RCP00192,494,23,67,28,8,7,1209,0,21,16,17,13
RCP00193,162,38,39,35,7,7,720,43,30,12,11,20
RCP00194,175,5,51,21,3,18,1186,18,11,37,9,28
RCP00195,474,41,40,27,5,9,224,46,11,12,16,28
RCP00196,394,34,49,24,5,2,1149,28,21,48,13,34
RCP00197,238,24,65,29,9,7,1017,18,13,19,18,20
RCP00198,237,18,76,18,2,6,202,46,7,5,17,12
RCP00199,524,34,63,19,5,10,373,33,15,32,9,28
RCP00200,505,33,61,37,5,5,1491,83,16,53,17,20
RCP00201,300,17,77,11,13,17,929,25,23,23,15,37
RCP00202,284,21,73,23,7,6,1344,30,8,44,16,18
RCP00203,537,47,70,36,6,14,325,81,26,22,14,13
RCP00204,481,29,39,16,13,14,631,41,23,43,5,37
RCP00205,705,16,75,14,10,15,952,1,38,15,15,17
RCP00206,474,11,65,24,10,14,575,0,18,14,12,21
RCP00207,767,46,68,39,5,11,1435,60,19,18,26,31
RCP00208,189,11,63,15,5,5,495,13,32,13,14,12
RCP00209,348,48,62,31,6,14,1031,12,10,20,25,39
RCP00210,505,20,38,38,4,4,1064,55,22,29,21,13
RCP00211,485,38,30,16,14,11,1208,35,34,47,17,31
RCP00212,581,41,60,17,8,14,338,0,25,31,5,30
RCP00213,381,37,33,37,10,11,1122,69,31,37,16,29
RCP00214,405,46,63,17,12,13,1462,45,37,6,5,18
RCP00215,663,47,40,15,7,14,507,43,21,43,19,16
RCP00216,439,35,77,32,2,10,666,35,34,55,6,36
RCP00217,714,15,68,12,5,7,1298,91,30,42,14,12
RCP00218,300,46,43,26,12,18,669,0,9,41,8,32
RCP00219,463,36,69,34,7,16,1442,27,23,7,17,34
RCP00220,165,31,69,17,9,9,763,4,24,16,21,27
RCP00221,608,39,63,38,5,17,855,74,25,29,26,35
RCP00222,411,44,43,19,7,5,1093,53,37,59,29,24
RCP00223,342,29,77,23,9,16,1298,93,9,40,5,34
RCP00224,645,9,56,17,4,6,383,25,33,50,15,13
RCP00225,445,46,49,22,8,4,1014,49,6,23,19,17
RCP00226,284,15,74,29,13,9,1305,71,37,27,27,18
RCP00227,216,24,51,16,8,9,814,86,29,5,22,29
RCP00228,693,31,64,20,8,14,607,35,15,51,21,13
RCP00229,156,17,74,23,10,18,800,73,18,38,13,32
RCP00230,604,6,64,17,13,9,678,61,32,12,25,11
RCP00231,289,5,37,15,5,6,550,6,11,31,27,34
RCP00232,253,15,43,16,14,14,481,0,22,42,12,38
RCP00233,318,8,40,25,8,8,516,0,25,47,28,39
RCP00234,443,47,40,30,9,18,1426,20,11,43,9,13
RCP00235,398,36,36,33,6,2,582,44,30,55,16,23
RCP00236,363,14,72,11,10,16,1039,90,37,58,23,26
RCP00237,515,27,51,32,12,8,640,0,11,40,26,37
RCP00238,293,38,45,20,5,7,412,1,7,30,23,30
RCP00239,631,49,72,23,6,10,430,78,35,8,14,21
RCP00240,512,43,31,27,9,11,363,11,9,41,13,23
RCP00241,469,45,64,30,12,13,1219,13,28,45,25,19
RCP00242,470,45,44,39,13,3,375,0,27,10,19,26
RCP00243,702,26,62,27,5,19,598,33,31,19,21,38
RCP00244,558,42,45,27,9,10,820,49,8,33,19,36
RCP00245,155,21,56,18,8,9,246,5,27,32,23,33
RCP00246,206,11,51,26,2,11,774,91,19,31,14,31
RCP00247,708,33,62,25,11,19,862,59,23,18,5,35
RCP00248,185,49,77,28,12,5,1045,0,9,26,27,34
RCP00249,794,35,42,20,3,15,929,89,33,37,21,18
RCP00250,576,47,61,25,3,10,1315,28,23,45,9,19
RCP00251,267,5,56,20,8,4,1194,66,27,24,25,31
RCP00252,577,15,77,27,10,19,364,77,8,26,24,29
RCP00253,185,44,49,23,9,7,653,38,12,44,18,24
RCP00254,518,40,36,33,14,2,468,26,18,35,24,37
RCP00255,525,19,35,27,12,17,1129,47,22,43,20,17
RCP00256,236,42,35,18,13,17,286,37,10,13,6,10
RCP00257,349,18,77,25,14,14,1337,0,33,42,17,39
RCP00258,614,10,56,19,13,6,1431,97,37,57,11,37
RCP00259,163,19,59,20,4,2,666,54,28,8,22,36
RCP00260,672,46,49,21,13,17,556,37,7,17,22,19
RCP00261,393,15,51,17,11,11,972,55,19,34,7,17
RCP00262,572,48,65,22,10,8,550,42,36,22,8,10
RCP00263,602,8,65,13,14,7,576,35,11,42,9,13
RCP00264,522,33,77,17,10,16,728,71,39,20,21,37
RCP00265,395,49,31,21,8,17,587,47,22,36,23,30
RCP00266,449,13,37,27,2,6,969,26,10,58,6,29
RCP00267,773,19,30,27,9,18,1376,76,9,36,14,19
RCP00268,382,7,66,27,3,3,236,33,10,11,29,34
RCP00269,562,32,52,24,13,15,1143,88,22,41,16,19
RCP00270,678,48,54,34,6,12,1056,67,35,14,28,27
RCP00271,588,14,68,24,2,16,219,61,13,10,5,19
RCP00272,248,25,50,31,13,9,323,73,39,36,21,32
RCP00273,455,47,77,30,9,7,383,33,18,23,7,29
RCP00274,304,38,61,17,2,19,931,65,36,29,19,13
RCP00275,332,9,30,25,3,7,333,11,38,27,6,27
RCP00276,285,34,65,17,9,7,1018,32,29,19,29,34
RCP00277,428,47,74,27,9,10,943,44,5,36,15,13
RCP00278,418,30,42,28,7,13,1121,8,19,22,22,29
RCP00279,481,20,43,32,3,2,339,58,19,50,11,10
RCP00280,374,38,43,32,11,15,221,3,29,28,13,27
RCP00281,793,16,64,29,5,9,871,54,24,28,22,37
RCP00282,417,43,59,26,5,7,1293,33,33,41,13,21
RCP00283,183,20,54,38,5,2,574,53,21,35,14,35
RCP00284,155,43,44,25,3,6,225,80,22,49,25,17
RCP00285,456,27,70,24,11,17,490,55,10,25,26,38
RCP00286,752,30,79,25,2,13,1149,34,32,7,8,29
RCP00287,774,8,65,29,10,15,518,49,24,24,6,31
RCP00288,670,19,48,27,9,19,789,15,6,5,21,19
RCP00289,683,27,48,18,4,15,252,59,12,14,28,29
RCP00290,711,31,39,39,14,15,1005,12,19,32,19,22
RCP00291,170,42,76,37,13,2,1397,99,17,59,10,12
RCP00292,704,11,59,28,6,3,832,43,10,40,14,35
RCP00293,293,28,54,23,14,19,954,36,39,38,22,14
RCP00294,208,32,50,36,6,7,283,14,14,30,16,29
RCP00295,687,30,67,20,9,17,973,78,15,32,12,14
RCP00296,796,29,51,38,4,12,967,41,23,31,23,13
RCP00297,269,16,71,19,12,14,978,25,13,10,17,25
RCP00298,522,39,33,29,5,5,688,61,22,12,8,13
RCP00299,698,44,78,25,14,8,210,79,19,46,18,25
RCP00300,461,21,47,23,10,18,965,99,27,9,13,16
RCP00301,688,12,56,28,4,11,785,0,15,23,27,20
RCP00302,477,27,58,34,12,3,1038,33,25,42,12,11
RCP00303,620,5,40,20,6,17,333,39,32,14,15,26
RCP00304,556,6,77,25,3,7,353,77,15,57,24,34
RCP00305,525,17,43,20,11,5,601,4,19,58,24,36
RCP00306,681,46,39,16,6,8,1322,29,38,59,16,38
RCP00307,710,41,31,24,10,16,230,15,32,19,20,30
RCP00308,782,13,67,17,3,13,1398,37,33,49,12,15
RCP00309,521,21,47,27,5,6,1426,20,6,28,14,34
RCP00310,198,7,55,19,5,3,549,40,8,21,10,33
RCP00311,712,31,61,21,2,13,685,97,33,14,11,16
RCP00312,709,41,69,30,13,18,913,42,16,59,28,34
RCP00313,703,32,61,26,14,5,484,38,28,14,15,28
RCP00314,203,37,47,27,5,6,1295,69,29,48,15,11
RCP00315,416,15,46,24,11,9,474,39,31,35,12,32
RCP00316,699,39,57,24,8,15,670,0,14,22,17,27
RCP00317,260,24,59,21,7,9,1304,16,22,11,23,26
RCP00318,750,46,35,24,8,17,1497,25,25,49,29,16
RCP00319,197,46,58,25,13,15,1389,55,33,26,12,13
RCP00320,599,14,73,22,6,2,522,75,34,48,8,25
RCP00321,607,22,34,36,2,11,587,32,36,56,19,31
RCP00322,265,29,54,39,2,7,1498,32,26,32,6,30
RCP00323,758,10,54,12,9,14,1163,96,20,38,22,13
RCP00324,762,12,46,24,2,7,863,27,18,9,14,16
RCP00325,183,16,65,29,5,12,948,64,21,57,24,20
RCP00326,578,27,74,25,12,2,1463,0,37,59,11,28
RCP00327,559,11,31,24,5,7,658,16,24,28,13,30
RCP00328,569,49,52,22,9,15,845,62,19,41,25,38
RCP00329,284,40,52,27,3,19,1340,53,35,21,28,38
RCP00330,310,21,55,21,6,10,649,59,38,46,12,13
RCP00331,167,18,53,21,12,4,597,31,13,42,5,26
RCP00332,473,44,76,19,14,19,436,0,34,29,8,23
RCP00333,183,9,39,15,8,5,338,1,30,44,27,25
RCP00334,179,26,73,28,3,15,426,44,12,47,7,24
RCP00335,546,34,40,34,4,2,531,57,32,55,9,20
RCP00336,576,12,77,26,8,2,1373,61,14,50,13,18
RCP00337,216,47,74,37,13,12,628,23,12,17,23,34
RCP00338,646,10,51,11,10,15,1176,65,35,12,6,20
RCP00339,618,37,60,33,12,14,680,45,21,51,28,38
RCP00340,258,30,52,18,10,5,1210,26,38,43,10,23
RCP00341,746,12,76,14,12,12,328,83,26,13,17,19
RCP00342,270,42,31,37,9,6,1037,0,23,22,29,28
RCP00343,653,12,43,18,11,2,1459,6,14,38,19,32
RCP00344,402,44,38,38,7,5,740,0,35,53,16,21
RCP00345,672,21,78,34,4,14,1160,68,5,34,29,21
RCP00346,563,36,65,30,10,14,262,61,15,13,28,39
RCP00347,583,20,48,18,2,16,1138,23,19,21,29,23
RCP00348,672,46,33,26,5,19,1378,84,32,44,26,20
RCP00349,550,19,32,18,8,5,593,3,23,58,16,17
RCP00350,738,15,39,14,2,10,1070,5,9,17,26,28
RCP00351,611,38,50,37,8,5,820,13,16,11,9,29
RCP00352,669,21,46,18,11,4,836,68,30,42,23,28
RCP00353,623,38,70,16,6,11,330,71,21,44,8,11
RCP00354,691,6,37,27,11,4,758,19,15,57,9,26
RCP00355,489,11,61,14,3,13,1126,9,31,40,23,33
RCP00356,636,7,58,10,11,16,202,21,25,30,24,17
RCP00357,601,30,39,34,11,18,717,29,17,59,24,28
RCP00358,425,48,38,35,3,18,1040,29,15,46,23,29
RCP00359,215,49,57,36,9,4,1247,5,10,16,13,31
RCP00360,564,7,77,24,6,15,563,37,25,21,17,34
RCP00361,580,41,73,19,8,19,1048,78,35,19,9,38
RCP00362,549,28,75,35,9,17,648,75,15,22,8,37
RCP00363,431,25,49,31,8,15,1275,43,35,16,21,39
RCP00364,649,31,34,27,10,4,491,96,18,41,29,16
RCP00365,761,29,54,23,8,15,1423,98,20,59,14,32
RCP00366,584,43,33,22,14,2,531,0,36,55,14,29
RCP00367,412,49,74,25,3,7,1410,0,17,55,5,24
RCP00368,650,25,59,37,9,12,897,0,29,37,9,11
RCP00369,185,35,66,39,8,16,1403,45,22,28,25,36
RCP00370,370,40,31,34,2,10,415,46,18,53,20,16
RCP00371,364,15,69,14,11,15,956,91,21,7,12,30
RCP00372,746,21,45,36,10,3,412,78,37,33,24,37
RCP00373,351,21,39,21,2,7,348,78,36,48,7,22
RCP00374,765,12,50,25,6,11,321,8,15,52,16,16
RCP00375,220,40,73,34,5,12,1448,20,20,14,14,34
RCP00376,340,49,41,15,9,7,1024,95,11,29,15,28
RCP00377,465,40,79,24,4,5,857,33,34,9,9,33
RCP00378,618,27,54,27,10,3,1203,36,39,11,7,23
RCP00379,387,31,43,39,14,17,575,36,26,20,29,24
RCP00380,497,24,50,25,4,10,1350,69,24,31,24,17
RCP00381,289,5,43,11,2,3,222,32,32,27,24,39
RCP00382,351,31,61,23,2,8,368,40,27,11,17,37
RCP00383,210,36,72,30,4,3,534,92,20,28,23,18
RCP00384,501,46,59,33,13,8,1010,92,22,46,10,32
RCP00385,525,36,76,27,13,6,1300,77,34,50,28,23
RCP00386,348,12,46,29,11,4,807,43,17,41,19,38
RCP00387,749,47,31,30,14,18,1426,41,24,12,10,19
RCP00388,348,17,78,18,11,9,1055,15,5,20,23,14
RCP00389,550,46,43,15,6,7,558,41,38,26,25,35
RCP00390,413,43,49,23,7,7,613,0,27,58,6,32
RCP00391,392,18,74,11,3,16,1041,64,7,25,18,27
RCP00392,578,41,50,16,8,18,1150,40,18,17,24,22
RCP00393,729,19,56,29,12,7,1299,16,24,29,28,20
RCP00394,415,21,33,19,13,7,783,85,30,52,24,17
RCP00395,593,7,65,21,7,10,611,61,21,7,13,31
RCP00396,610,28,79,39,11,17,642,29,39,53,27,20
RCP00397,735,34,70,16,8,10,775,71,12,16,10,21
RCP00398,261,6,73,20,12,19,800,50,21,26,20,18
RCP00399,702,25,79,23,8,13,901,94,20,37,25,26
RCP00400,223,35,51,30,8,10,1179,88,6,41,6,23
RCP00401,653,37,47,26,4,5,1065,54,34,43,9,38
RCP00402,473,19,43,29,9,14,415,62,6,42,9,17
RCP00403,388,16,68,28,13,15,924,90,24,59,23,24
RCP00404,423,18,54,16,10,13,1282,19,15,14,13,36
RCP00405,546,13,64,19,12,5,1456,94,13,43,23,33
RCP00406,677,20,45,28,14,14,983,3,30,46,13,39
RCP00407,569,36,64,33,9,12,1397,25,21,51,13,19
RCP00408,600,11,77,23,9,15,551,43,37,35,13,30
RCP00409,263,6,33,13,9,3,1135,96,19,53,19,37
RCP00410,410,47,67,19,11,6,1172,1,5,41,23,13
RCP00411,779,31,51,26,5,7,1015,46,23,47,26,15
RCP00412,755,16,45,26,7,18,1492,78,34,36,9,26
RCP00413,256,34,31,18,8,12,251,0,14,59,29,24
RCP00414,343,14,44,20,11,4,1332,29,36,27,24,14
RCP00415,199,42,43,20,2,5,1497,42,5,11,18,34
RCP00416,656,41,46,20,9,3,1246,0,18,29,26,34
RCP00417,387,14,70,22,4,14,329,81,21,29,20,27
RCP00418,630,29,65,19,14,14,836,94,37,15,7,23
RCP00419,157,30,61,27,6,5,257,77,26,7,12,22
RCP00420,475,31,46,18,12,9,519,57,17,15,7,22
RCP00421,365,40,44,19,12,4,1348,33,33,5,29,32
RCP00422,493,27,79,34,13,10,546,35,26,38,9,30
RCP00423,689,26,52,39,13,6,989,17,29,36,23,16
RCP00424,245,36,44,21,12,18,1443,91,9,41,15,37
RCP00425,245,13,76,14,13,17,201,9,10,21,16,38
RCP00426,376,31,77,27,4,3,448,73,37,19,18,16
RCP00427,605,45,76,35,7,16,913,0,38,32,23,36
RCP00428,639,48,55,23,7,2,1099,88,22,17,17,25
RCP00429,282,38,77,23,8,14,1465,83,33,52,23,18
RCP00430,581,31,49,18,10,17,320,31,6,24,9,39
RCP00431,568,32,68,22,14,6,370,74,35,47,7,26
RCP00432,535,41,69,24,7,4,1472,48,12,7,12,11
RCP00433,631,30,47,35,4,9,974,68,22,21,6,21
RCP00434,618,7,42,28,8,9,992,63,17,17,17,25
RCP00435,152,13,60,16,5,13,1135,42,32,56,9,28
RCP00436,387,24,32,19,6,5,662,67,20,13,22,36
RCP00437,635,6,54,12,2,15,1222,95,31,25,18,36
RCP00438,548,49,33,18,14,10,1386,6,32,10,14,26
RCP00439,277,17,69,12,14,10,771,0,38,8,9,37
RCP00440,242,46,67,15,11,4,679,65,31,43,12,10
RCP00441,507,41,30,23,12,18,1262,89,38,47,9,16
RCP00442,415,28,41,15,8,9,387,24,30,55,6,33
RCP00443,686,33,56,22,5,14,1431,25,32,35,29,13
RCP00444,342,35,37,30,6,11,867,67,24,42,16,36
RCP00445,555,9,58,11,6,19,589,21,7,15,11,17
RCP00446,706,39,71,33,2,14,528,72,5,24,8,20
RCP00447,632,48,44,34,14,18,1419,50,25,29,11,38
RCP00448,717,11,70,11,10,12,796,48,29,44,14,35
RCP00449,304,12,49,17,3,15,232,57,35,10,11,11
RCP00450,343,35,78,35,12,15,490,0,18,41,18,39
RCP00451,596,36,48,18,6,9,1136,82,14,59,19,23
RCP00452,707,20,56,38,4,7,289,27,24,40,25,24
RCP00453,720,23,48,36,10,15,249,86,19,19,20,22
RCP00454,617,16,49,26,8,12,790,37,19,26,29,34
RCP00455,163,39,53,34,9,13,605,62,33,26,14,37
