code,name,scie,desc
"A020","Wheat, whole","Triticum aestivum","A. Ghehu; B. Gom; G. Ghaun; H. Gehun; Kan. Godhi; Kash. Kinek; Kh. Ukew; Mal. Godhumbu; M. Ghehu; Mar. Gehu; N. Gau; O. Gahama; P. Kanaka; S. Godhum; Tam. Godumai; Tel. Godhumalu; U. Gehun."
"A021","Wheat, bulgar","Triticum aestivum","A. Dalia; B. Dalia; E. Burghul, Groats, Durum Wheat, Pasta wheat, Macaroni wheat; G. Bulgur ghaum; H. Dalia; Kan. Bulgur godhi; Kash. Kinek; Kh. Kew; Mal. Godhambu Ravu; Mar. Bulgur gahu; N. Gau ko pitho; O. Dalia; P. Dalia; Tam. Godumai ravai; Tel. Bulgur; U. Dalia."
"A022","Wheat, semolina","Triticum aestivum","A. Suji; B. Suji; E. Durum wheat, Pasta wheat, Macaroni wheat; G. Ghaum soji; H. Gehun suji; Kan. Godhi rave; Kash. Sooj; Kh. Suji; Mal. Uppumavu; M. Suji; Mar. Gahu rava; N. Suji; O. Suji; P. Suji; Tam. Godumai ravai; Tel. Godhuma rava."
"A023","Wheat, vermicelli","Triticum aestivum","A. Sewai; B. Semai; E. Very thin pasta; G. Ghaun ni sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai lieh; Mal. Semiya; Mar. Siwain; O. Simai; P. Sevian; Tam. Semiya; Tel. Semiya; U. Semiya."
"A024","Wheat, vermicelli, roasted","Triticum aestivum","A. Gom sewai; B. Semai; E. Very thin pasta; G. Ghaun ni Shekeli sev; H. Siwain; Kan. Shevige; Kash. Sewian; Kh. Sewai saw; Mal. Semiya; Mar. Siwain; O. Simai; P. Bhooni sevian; Tam. Semiya; Tel. Semiya; U. Semiya."
"B001","Bengal gram, dal","Cicer arietinum","A. Boot dail; B. Cholar dal; E. Split Bengal gram, Chickpea; G. Chana-ni-daad; H. Chan-ki-dal; Kan. Kadale bele; Kash. Chanu dal; Kh. Dai shana; Mal. Kadala parippu; M. Chana Tangkhai; Mar. Harabara dal; N. Chana ko Dal; O. Channa dali (Buta dali); P. Sholedi dal; Tam. Kadalaiparuppu; Tel. Sanaga papu; U. Chane ki dal."
"B002","Bengal gram, whole","Cicer arietinum","A. Boot; B. Chola; E. Chickpea; G. Chana; H. Chana, Kala chana; Kan. Kadale; Kash. Chanu; Kh. Shana kulai; Mal. Kadala; Mar. Harbara; M. Chana Mapum; N. Kabuli Chana; O. Buta; P. Shole; S. Chanak; Tam. Kondaikadalai; Tel. Sanagalu; U. Chana."
"B003","Black gram, dal","Phaseolus mungo","A. Matir dail phola; B. Biulir dal; E. Urad bean, Mungo bean, Black matpe bean; G. Aadad ni daad; H. Urad dal; Kan. Uddhina bele; Kash. Kaha; Mal. Uzhunnu parippu; M. Sagol Hawai Tangkhai; Mar. Uddachi dal; N. Maas ko dal; O. Birri dali, Biri dali; P. Maa ki daal; S. Maassa; Tam. Ulutham paruppu; Tel. Minapa pappu; U. Mash ki dal."
"B004","Black gram, whole","Phaseolus mungo","A. Gota mati mah; B. Mashkolail; E. Urad bean, Mungo bean, Black matpe bean; G. Adad; H. Chhilke wali urad dal; Kan. Uddhina bele; Kash. Kaha; Kh. Dai iong; Mal. Uzhunu; M. Sagol Hawai; Mar. Uddachi dal; O. Birri, Biri; P. Sabut maa ki daal; Tam. Ulundhu; Tel. Minumulu Mapum"
"B005","Cowpea, brown","Vigna catjang","A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. baunir."
"B006","Cowpea, white","Vigna catjang","A. Lesera mahor guti; B. Barbati; E. Black eyed peas, Lobia peas; G. Chorap; H. Lobia; Kan. Alasande; Kh. Rymbai lieh; Mal. Vella payaru; M. Pong Hawai; Mar. Chavli; N. Bodi; O. Jhudunga; P. Lobia; S. Raajamaassa; Tam. Karamani; Tel. Bobbarlu; U. Baunir."
"B007","Field bean, black","Phaseolus vulgaris","A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri iong; Mal. Avar; Mar. Papta; O. Baragudi; P. Sem dal; Tam. Mochai; Tel. Chikkudu ginjalu."
"B008","Field bean, brown","Phaseolus vulgaris","A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai ri saw; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu."
"B009","Field bean, white","Phaseolus vulgaris","A. Urohi guti; B. Shim; E. Common bean, Fieldbean, Broad bean, String bean; G. Valpapdi; H. Sem; Kan. Avare; Kash. Moang; Kh. Symbai Ri lieh; Mal. Avar; Mar. Papta; O. Baragudi; Tam. Mochai; Tel. Chikkudu ginjalu."
"B010","Green gram, dal","Vigna radiata","A. Dhua mogu dail; B. Mung dal; E. Mung bean, Maash, Moong; G. Mug ni daad; H. Mug dal; Kan. Hesara bele; Kash. Muang dal; Kh. U dai stem; Mal. Cheru payar parippu; M. Mung Hawai; Mar. Mug dal; N. Moong ko khoste; O. Muga Dali; P. Mungi-di-dal; Tam. Payatham paruppu; Tel. Pesara pappu; U. Moong dal."
"B011","Green gram, whole","Vigna radiata","A. Gota mogu mah; B. Moog; E. Mung bean, Maash, Moong; G. Mug; H. Mung; Kan. Hesare kalu; Kash. Muang; Kh. U dai jyrngam; Mal. Cheru Pararu; M. Mung Hawai; Mar. Mun; N. Moong; O. Muga; P. Sabut moong dal; S. Mudra; Tam. Pasipayir; Tel. Pesalu; U. Moong."
"B012","Horse gram, whole","Dolicus biflorus","B. Kulotto- kalai; E. Kulthi bean, Hurali, Madras gram; G. Kuleeth; H. Kulthi; Kan. Hurule; Kash. Kurath; Mal. Muthira; Mar. Kuleeth; N. Bakulla; O. Kolatha; S. Kulattha; Tam. Kollu; Tel. Ulavalu; U. Kulthi."
"B013","Lentil, dal","Lens culinaris","A. Masur dail; B. Mosur dal; G. Masoor ni daad; H. Masoor dal; Kan. Laki Bele; Kash. Masoor; Kh. U dai saw; Mal. Vattu parippu; M. Hawai Masuri; Mar. lank dal; O. Masura dali; P. Dhooli masari dal; S. Triputta; Tam. Khesari paruppu; Tel. Lanka pappu."
"B014","Lentil whole, brown","Lens culinaris","A. Gota masur mah; B. Mosur; G. Masoor (Kathai); H. Masur dal; Kan. Masur bele; Kash. Masoor; Mal. Masur parippu; M. Hawai Masuri; Mar. Masur dal; N. Musuroo; O. Masura; P. Saboot masari dal; S. Masura; Tam. Mysore paruppu; Tel. Misur pappu; U. Masur dal."
"B015","Lentil whole, yellowish","Lens culinaris","H. Masur dal; Tel. Misur pappu; Tam. Mysore paruppu; Kan. Masur bele; Mal. Masur parippu; Mar. Masur dal; O. Masura; B. Mosur; G. Masoor rakhoda; P. Saboot masari dal; U. Masur dal; A. Mosur (Dail); Kash. Masoor; S. Masura Musuroo; M. Hawai Masuri; Kh. U dai saw."
"B016","Moth bean","Vigna aconitifolia","E. Mat bean, Turkish gram, Dew bean; H. Motha; Tam. Narippayir; Kan. Matki Kal; Mar. Matki; B. Kheri; G. Math; P. Bhiopnitam; P. Moth dal; Kh. Rymbai."
"B017","Peas, dry","Pisum sativum","A. Gota motor; B. Matar; G. Sukha vatana; H. Sukhi Matar; Kan. Batani; Kash. Kaza; Kh. Shana mator; Mal. Pattani; Tam. Pattani; O. Matara; P. Sukhe hare matar dal; Kan., Tel. Batani; Kash. Kara; M. Hawai mangal."
"B018","Rajmah, black","Phaseolus vulgaris","A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Kadi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma heh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Kale rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma."
"B019","Rajmah, brown","Phaseolus vulgaris","A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (Gulabi); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma lieh; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Bhoore rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma."
"B020","Rajmah, red","Phaseolus vulgaris","A. Rajmah; B. Barbati beej; E. Rajma, Razma; G. Phansi (lal); H. Rajmah; Kan. Thugare bele; Kash. Razma; Kh. Rajma rit; Mal. Rajmah; M. Rajmah; Mar. Shravangheveda; N. Rajma; P. Lal rajmah; S. Makussttaka; Tam. Karamani Payir; Tel. Barigalu; U. Rajma."
"B021","Red gram, dal","Cajanus cajan","A. Rohor dail; B., Kash., H. Arhar dal; E. Pigeon pea; G. Tuver ni daad; Kan. Thugare bele; Kash. Masur; Kh. Dai shana; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; N. Rahar ko dal; O. Harada dal; P. Arhar dal; S. Aaddhakii; Tel. Kandi pappu; Tam. Tuvaramparuppu; U. Tuvar ki dal."
"B022","Red gram, whole","Cajanus cajan","A. Gota rohor; E. Pigeon pea; G. Tuver; H. Arhar sabud; Kash. Masur; Kh. Rymbai ja; Mal. Tuvaru parippu; M. Mairongbi; Mar. Turdal; O. Harada; P. Arhar sabut dal; Tam. Tuvarai; Tel. Kandulu; U. Tuvar."
"B023","Rice Bean","Vigna umbellata","B. Galmoong; E. Ricebean; H. Meth; Kh. Rymbai ja; Mal. Kattuzhunnu; M. Chakwai ; N. Shiltong."
"B024","Soya bean, brown","Glycine max","A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tam. Soya bean; Tel. Soya bean; U. Soya."
"B025","Soya bean, white","Glycine max Merr","A. Soya bean; B. Garikalai; E. Soybean; G. Soya bean; H. Bhatmas; Kan. Soya bean; Kash. Muth; Kh. Toh rymbai; Mal. Soya bean; M. Nunghawai; Mar. Soya bean; N. Bhatmas; O. Soya bean; P. Soya bean dal; Tel. Soya bean; Tam. Soya bean; U. Soya."
"C001","Agathi leaves","Sesbania grandiflora","A. Bok phular paat; B. Bak ful shak; E. August tree leaves, Humming bird tree leaves, spinach; G. Agathio; H. Agasthi; Kan. Agase soppu; Mal. Agathi cheera; M. Chu chu Rangmei; Mar. Agasthi ka sag; O. Agasti; Tam. Agathi keerai; Tel. Avise akulu."
"C002","Amaranth leaves, green","Amaranthus gangeticus","A. Moricha sak; B. Notya Shaakh; G. Taldalja ni bhaaji; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Chaulai sag; S. Maarissa; Tam. Thandu keerai; Tel. Thotakoora; U. Cholai."
"C003","Amaranth leaves, red","Amaranthus gangeticus","A. Moricha; B. Lal Shaakh; G. Lal tandaljo; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Lal chaulai sag; S. Maarissa; Tel. Thotakoora; Tam. Thandu keerai; U. Cholai."
"C004","Amaranth leaves, red and green","Amaranthus gangeticus","A. Moricha; B. Notya Shaakh; G. Tandaljo; H. Chaulai; Kan. Danthu; Kash. Mawal; Mal. Cheera; M. Chengkruk; Mar. Math; N. Latte to saag; O. Neutia sag; P. Chaulai sag; S. Maarissa; Tam. Thandu keerai; Tel. Thotakoora; U. Cholai."
"C005","Amaranth, spinous, leaves, green","Amaranth spinosus","A. Moricha sak; B. Kanta-notya; G. Kanta vado tandaljo; H. Kantewali-notya; Kan. Mulla danthu; Kash. Mawal; Mal. Mullancheru- cheera; M. Chengkruk; Mar. Kantemanth; O. Kanta notay shak; P. Kantewali chaulai; Tam. Mulaikeerai; Tel. Mulla thotakura."
"C006","Amaranth, spinous, leaves, red and green","Amaranth spinosus","B. Kanta-notya shaak; G. Kanta vado tandaljo; H. Kantewali-notya; Kan. Mulla danthu; Kash. Mawal; Kh. Sla longmar; Mal. Mullancheru-cheera; M. Chengkruk; Mar. Kantemanth; O. Kanta neutia sag; P. Kantewali chaulai; Tam. Mulakeerai; Tel. Mulla thotakura."
"C007","Basella, leaves","Basella alba","A. Puroi sak; B. Pui shaak; E. Malabar spinach; G. Poi ni bhaji; H. Palak; Kan. Basale soppu; Kh. Sla palong dkhar; Mal. Vallicheera; Mar. Mayalu; O. Poi saaga; P. Paalak; Tam. Kodippasali; Tel. Bachhali."
"C008","Bathua leaves","Chenopodium album.","A. Jilmil sak; B. Beto sak; G. Chilni bhaji; H. Bathua sagu; Kan. Sakothina soppu; Kash. Ushtahak; Kh. Sla jada; Mal. Parippuchira; M. Monsaobi; Mar. Chakavath; N. Bethe ko saag; O. Bathua sag; P. Bathu sag; Tel. Pappukura; Tam. Paruppukkeerai."
"C009","Beet root, leaves","Beta vulgaris","A. Beetar sak; E. Beet greens; G. Beet ni bhaji; H. Chukandhar sag; Kan. Beet root soppu; Kash. Chogander Munji; Kh. Sla bit; Mal. Beet root cheera; Mar. Beet root ka sag; N. Bengali Palungo ko Saag; P. Chukandhar da sag; Tam. Beet root keerai; Tel. Beet root; U. beet patta."
"C010","Betel, leaves, big (Kolkata)","Piper betle","A. paan; B. Pan; G. Nagarvelna pan; H. Pan ka patha; Kan. Kadale soppu; Kh. Tympew Dkhar; Mal. Vettiiai; M. Kwa Mana; Mar. Pan-ka-patta; O. Pana; P.  Pan-da-patta; Tam. Vetrilai; Tel. Thamala paku; U. Paan ka patta."
"C011","Betel, leaves, small","Piper betle","A. Paan; B. Pan; G. Nagarvelna pan; H. Pan ka patha; Kan. Kadale soppu; Kh. Tympew; Mal. Vettiiai; M. Kwa Mana; Mar. Pan-ka-patta; O. Pana; P. Pan-da-patta; Tel. Thamala paku; Tam. Vetrilai; U. Paan ka patta."
"C012","Brussels sprouts","Brassica oleracea var. gemmifera","B. Biliti Bandhakopi; G. Nani kobi; H. Choote gobi; Kan. Mara kosu; Kash. Haakh; Mal. Kalakose; Mar. Chotee gobi; O. Chota bandha; P. Chooti band gobi; Tam. Kalaikose; Tel. Chinna cabbage; U. Choti bund gobh."
"C013","Cabbage, Chinese","Brassica rupa","A. China lai; G. Chinese kobi; Kash. Bandh; Kh. Salat chaina."
"C014","Cabbage, collard greens","Brassica oleracea var. Viridis","G. Kobi na pan; Kash. Bandh; Kh. Sla kubi; Tam. Seemai parattai keerai."
"C015","Cabbage, green","Brassica oleracea var. capitata f. alba","A. Bondhakobi; B. Badha kopi; G. Lili kobi; H. Bandh gobi; Kan. Kosu; Kash. Bandh gobi; Kh. Kubi; Mal. Muttu gose; M. Kobi Mana; Mar. Kobi; N. Banda kovi; O. Bandha kobi; P. Patta gobhi; S. Shaakaprabhedah; Tel. Gos koora; Tam. Muttaikose; U. Gobhi."
"C016","Cabbage, violet","Brassica oleracea var. capitata f. rubra","A. Bondhakobi; B. Badha kopi; E. Red cabbage, Purple cabbage, Red Kraut, Blur kraut; G. Lal kobi; H. Bandh gobi; Kan. Kosu; Kash. Bandh gobi; Kh. Kubi saw; Mal. Muttu gose; Mar. Kobi; N. Banda kovi; O. Bandha kopee; P. Patta gobhi; S. Shaakaprabhedah; Tam. Muttaikose; Tel. Gos koora; U. Gobhi."
"C017","Cauliflower leaves","Brassica oleracea var. botrytis","A. Phul kobir pat; B. Phul gopi pata; G. Fulawar na pan; H. Phul gobi patta; Kan. Hukosu; Kash. Phoolgobi panwathir; Kh. Sla phul; Mal. Cauliflower; M. Kobithamchetmai mana; Mar. Phul gobi; N. Kauli; O. Phula Kobi patra; P. Phool gobi di patte; S. Gojihvaa; Tam. Pookosu keerai; Tel. Go puvvu; U. Phul gobi."
"C018","Colocasia, leaves, green","Colocasia antiquorum","A. Kasu sak; B. Kochu pata; G. Advi na pan; H. Arvi ka sag; Kan. Shamangadda yele; Kh. Sla wang; Mal. Chembu ilagal; M. Paan mana; Mar. Alu pan; N. Karkalo; O. Saru saga; P. Arbi-di-patte; Tam. Seppam ilaigal; Tel. Chama akulu; U. Arvi ka patta."
"C019","Drumstick, leaves","Moringa oleifera","A. Sajina paat; B. Sajna pata; E. Horseradish leaves, Benzoil leaves; G. Saragwa na pan; H. Saijan patta; Kan. Nuggeyele; Mal. Muringa ela; M. Sajana mana; Mar. Shevaga pan; O. Sajna sag; P. Soanjhna da patta; Tam. Murungai keerai; Tel. Mulaga akulu; U. Sujineki palli."
"C020","Fenugreek leaves","Trigonella foenum-graecum","A. Methi paat; B. Methi shak; G. Methi pandada; H. Methi sag; Kan. Menthya soppu; Kash. Kasori Methi; Kh. Sla methi; Mal. Uluva ila; M. Methi man; Mar. Methi sag; N. Methi pata; O. Methi sag; P. Methi di patte; Tel. Menthikoora; Tam. Vendhaiya keerai; U. Methi."
"C021","Garden cress","Lepidium sativum","A. Bor manimuni; B. Halim sag; G. Asadio na pan; H. Halim ka patta; Kan. Allibija soppu; Kash. Halyun; Kh. Khliang syiar; Mal. Alivirai cheera; Mar. Ahiva ka patta; N. Chamsoor ko Saag; O. Kakharu Saga; P. Halim-da-sag; Tam. Alivirai keerai; Tel. Adityala akulu."
"C022","Gogu leaves, green stem","Hibiscus cannabinus","A. Tengamora; B. Mestapat; E. Roselle Leaves; G. Ambadi; H. Pitwa; Kan. Pundi; Kh. Sla jajew jyrngam; Mal. Pulichai cheera; M. Sougri mana; Mar. Ambadi; O. Nalite saga; P. Pitwa sag; Tam. Pulichchai keerai; Tel. Gongura; U. Ambada ki bhaji."
"C023","Gogu leaves, red stem","Hibiscus cannabinus","A. Tengamora; B. Mestapat; E. Roselle Leaves; G. Ambadi; H. Pitwa; Kan. Pundi; Kh. Sla jajew saw; Mal. Pulichai cheera; M. Sougri mana; Mar. Ambadi; O. Nalite saga; P. Pitwa sag; Tam. Pulichchai keerai; Tel. Gongura; U. Ambada ki bhaji."
"C024","Knol-Khol, leaves","Brassica oleracea","A. Ool kobi; B. Olkopi sag; E. Knol Knol, Kohlrabi, Wild cabbage greens; G. Gath kobi na pan; H. Ganth gobi ka sag; Kan. Gedde kosu; Kash. Hakh Monji; Kh. Phan Kubi; Mal. Knol-khol cheera; M. Kobi Maru Kabi; Mar. Nol khol ka patta; N. Salgam ko saag; O. Ulgobi saga; P. Ganth gobi sag; Tam. Knol-Khol keerai; Tel. Knol-khol akulu."
"C025","Lettuce","Lactuca sativa","A. Salad paat; G. Lettuce na pan; H. Salad ka patta; Kan. Lettuce soppu; Kash. Hakh; Kh. Salat dkhar; Mal. Lettuce cheera; Mar. Lettuce ka patta; N. Saalad ko paat; P. Salada sag; Tam. Ilaikosu; Tel. Kavu akulu; U. Kismisaag."
"C026","Mustard, leaves","Brassica juncea","A. Horiyo paat; B. Sorisa sag; E. Mustard greens; G. Sarasava pandada; H. Sarson ka sag; Kan. Sasuve yele; Kash. Hakh; Kh. Tyrso; Mal. Kadugu ila; M. Hangaam; Mar. Mochari-chi pan; N. Raayo ko Saag; O. Sarson ka saga; P. Saro da sag; Tam. Kadugu ilai; Tel. Ava akulu; U. Sarson ki patta."
"C027","Pak Choi leaves","Brassica rapa var. chinensis","E. Bok choy, Horse`s ear, Chinese celery cabbage, White mustard cabbage; G. Pak choi na pan."
"C028","Parsley","Petroselinum crispum","A. Sugandhi lota; E. Garden parsley; G. Leela dhana; Mal. Seema malli; Mar. Kothimbir/dhane; Tam. Verkosu; Kan. Auchumooda; U. Ajmod; P. Parsley."
"C029","Ponnaganni","Alternanthera sessilis","A. Matikaduri; B. Khanchari;G. Saranthi na pan; H. Saranthi sag; Kan. Honagone soppu; Mal. Ponnaganni cheera; M. Phakchet; Mar. Saranthi sag; O. Madarangh; Tam. Ponnaganni keerai; Tel. Ponnaganti koora; U. Kunte ki bhaji."
"C030","Pumpkin leaves, tender","Cucurbit maxima","A. Rongalao paat; B. Kumra shak; G. Kolam na pan; H. Kumhra sag; Kan. Kumbale soppu; Kash. Aal kaniji; Kh. Sla pathaw; Mal. Manthan elakai; M. Mairen mana; Mar. Bhopla chipan; O. Khakaru saga; P. Petha de pate; Tel. Gummadi akulu; Tam. Parangi ilai; U. Kaddu ka patta."
"C031","Radish leaves","Raphanus sativus","A. Dherua; B. Mulo shak; G. Muda na pan; H. Muli ka sag; Kan. Mullangi soppu; Kash. Mooji Hakh; Kh. Sla muli; Mal. Mullangi ilaigal; M. Hangham mula; Mar. Mula ka sag; N. Moolaa ko saag; O. Mula ka sag; P. Muli di patte; Tel. Mullangi akulu; Tam. Mullangi ilai; U. Muli ka patta.."
"C032","Rumex leaves","Rumex patientia","A. Suka sak; B. Bun palung; G. Ambada (sorrel); Kan. Chukki soppu; Mar. Amlavetasa; S. Amlavetasa; U. Tukhm hummaz."
"C033","Spinach","Spinacia oleracea","A. Paleng; B. Palong shak; G. Palak ni bhaji; H. Palak; Kan. Spinak soppu; Kash. Palak; Kh. Palong heh; Mal. Basala cheera; M. Palak; Mar. Palak; N. Paalungo ko Saag; O. Palang sag; P. Palak; S. Paalakya; Tam. Pasalai keerai; Tel. Palakoora; U. Palak."
"C034","Tamarind leaves, tender","Tamaridus indica","B. Tetul pata; G. Amli na pan; H., P. Imli patte; K. Hunise chiguru; Mal., Tam. Puliam ilaigal; Mar. Chinchecha pala; O. Tentuli; Tel. Chinta chiguru; A. Teteli paat; M. Mange Mana; Kh. Sla sohkyntoi."
"D001","Ash gourd","Benincasa hispida","A. Kumura; B. Chalkumra; E. Wax gourd, White gourd, Winter gourd, Tallow gourd, Ash pumpkin, Winter melon, Chinese preserving melon; G. Bhuru kodu; H. Petha; Kan. Budagumbala; Kash. Aal; Kh. Pathaw iiwbih; Mal. Kumbalanga; M. Torbot; Mar. Kohala; N. Kubhindo; O. Panikakharu; P. Petha; Tam. Venpoosani; Tel. Boodida gummadi; U. Peta."
